authors,title,source,type,abstract,times_cited,PY,VL,IS,BP,EP
"Merriam, ER; Petty, JT; Merovich, GT; Fulton, JB; Strager, MP",Additive effects of mining and residential development on stream conditions in a central Appalachian watershed,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,Article,"Large-scale surface mining in southern West Virginia significantly alters headwater stream networks. The extent to which mining interacts with other stressors to determine physical, chemical, and biological conditions in aquatic systems downstream is unclear. We conducted a watershed-scale assessment of Pigeon Creek, an intensively mined watershed of the Tug Fork drainage in Mingo County, West Virginia. Our objectives were to: 1) develop landscape-based indicators of mining and residential development, 2) quantify the interactive effects of mining and residential development on in-stream conditions, and 3) identify landscape-based thresholds above which biological impairment occurs in this watershed. Macroinvertebrate community structure was negatively correlated with intensity of mining and residential development. Correlation analysis and partial Mantel tests indicated that mining (% of total subwatershed area) caused acute changes in water chemistry (r = 0.55-0.91), whereas residential development (parcel density) strongly affected both physical habitat (r = 0.59-0.81) and macroinvertebrate community structure (r = 0.59-0.93). The combined effects of mining and development on in-stream biotic conditions were additive. Sites affected by equivalent levels of both stressors had lower Ephemeroptera, Plecoptera, Trichoptera richness than sites affected by either stressor alone. Biological impairment thresholds occurred at similar to 25% total mining (equivalent to a specific conductance of similar to 250 mu S/cm) and at parcel densities of similar to 5 and 14 parcels/km(2). Our results provide a tool that can be used to predict downstream ecological response to proposed mining given pre-existing watershed conditions. Our study suggests that effective management of impacts from new mine development must address nonmining-related impacts in this region.",24,2011,30,2,399,418
"Nicholson, E; Keith, DA; Wilcove, DS",Assessing the Threat Status of Ecological Communities,CONSERVATION BIOLOGY,Review,"Conservationists are increasingly interested in determining the threat status of ecological communities as a key part of their planning efforts. Such assessments are difficult because of conceptual challenges and a lack of generally accepted criteria. We reviewed 12 protocols for assessing the threat status of communities and identified conceptual and operational issues associated with developing a rigorous, transparent, and universal set of criteria for assessing communities, analogous to the International Union for Conservation of Nature (IUCN) Red List standards for species. We examined how each protocol defines a community and its extinction and how each applies 3 overarching criteria: decline in geographic distribution, restricted geographic distribution, and changes to ecological function. The protocols vary widely in threshold values used to assess declines and distribution size and the time frames used to assess declines, leading to inconsistent assessments of threat status. Few of the protocols specify a scale for measuring distribution size, although assessment outcomes are highly sensitive to scale. Protocols that apply different thresholds for species versus communities tend to require greater declines and more restricted distributions for communities than species to be listed in equivalent threat categories. Eleven of the protocols include a reduction in ecological function as a criterion, but almost all assess it qualitatively rather than quantitatively. We argue that criteria should be explicit and repeatable in their concepts, parameters, and scale, applicable to a broad range of communities, and address synergies between types of threats. Such criteria should focus on distribution size, declines in distribution, and changes to key ecological functions, with the latter based on workable proxies for assessing the severity, scope, and immediacy of degradation. Threat categories should be delimited by thresholds that are assessed at standard scales and are logically consistent with the viability of component species and important ecological functions.",24,2009,23,2,259,274
"Aguirre, AA; Tabor, GM",Global Factors Driving Emerging Infectious Diseases Impact on Wildlife Populations,Animal Biodiversity and Emerging Diseases: Prediction and Prevention,Article; Proceedings Paper,"The extinction of species across the globe is accelerating directly or indirectly from human activities. Biological impoverishment, habitat fragmentation, climate change, increasing toxification, and the rapid global movement of people and other living organisms have worked synergistically to diminish ecosystem function. This has resulted in unprecedented levels of disease emergence driven by human-induced environmental degradation, which poses a threat to the survival and health of biodiversity. What is often overlooked in the discussion of the health consequences to humans is that critically endangered wildlife species are at grave risk of extinction by disease outbreaks. As habitat becomes more compressed and with migration routes cut off, gene pools of small species are stranded in isolated habitat fragments. Species now are vulnerable to encroachment, malnutrition, environmental pollutants, and epidemics from domestic animals and humans. Furthermore, the continuous degradation of ecosystems is leading to increased stress, immunosuppression, and greater susceptibility to disease. Disease can be catastrophic to a diminished stressed population, becoming in some instances the leading factor of local, regional, and global extinctions. The strategies of the new field of conservation medicine include long-term monitoring, health assessment, and interventions to protect species at risk. We particularly must minimize the threat of any potentially catastrophic disease outbreaks resulting from anthropogenic changes to the environment. Current and future diagnostic molecular techniques offer new opportunities to identify tools for the management and possible treatment of diseases in imperiled species.",24,2008,1149,,1,3
"James, PMA; Fortin, MJ; Fall, A; Kneeshaw, D; Messier, C",The effects of spatial legacies following shifting management practices and fire on boreal forest age structure,ECOSYSTEMS,Article,"Forest age structure and its spatial arrangement are important elements of sustainable forestry because of their effects on biodiversity and timber availability. Forest management objectives that include specific forest age structure may not be easily attained due to constraints imposed by the legacies of historical management and natural disturbance. We used a spatially explicit stochastic model to explore the synergetic effects of forest management and fire on boreal forest age structure. Specifically, we examined (1) the duration of spatial legacies of different management practices in the boreal forest, (2) how multiple shifts in management practices affect legacy duration and the spatial trajectories of forest age structure, and (3) how fire influences legacy duration and pattern development in combination with harvesting. Results based on 30 replicates of 500 years for each scenario indicate that (1) spatial legacies persist over 200 years and the rate at which legacies are overcome depends on whether new management targets are in synchrony with existing spatial pattern; (2) age specific goals were met faster after multiple management shifts due to the similar spatial scale of the preceding management types; (3) because large fires can erase the spatial pattern created by smaller disturbances, scenarios with fire had shorter lags than scenarios without fire. These results suggest that forest management goals can be accelerated by applying management at a similar spatial scale as existing spatial patterns. Also, management planning should include careful consideration of historical management as well as current and likely future disturbances.",24,2007,10,8,1261,1277
"McKinney, ML; La Sorte, FA",Invasiveness and homogenization: synergism of wide dispersal and high local abundance,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Article,"Aim To determine whether invasive and locally abundant non-native species have a more homogenizing effect on plant communities than non-invasive and less abundant non-native species. Location California and Florida counties, conservation areas in the USA, and eight US cities. Methods Species lists among counties, conservation areas and cities were compared to see whether invasive and abundant non-native species increased the Jaccard index of similarity between localities beyond any increases caused by non-invasive and less abundant non-native species. Results For all comparisons, we found that invasive non-native species have a significantly greater homogenizing effect than non-invasive non-native species. For the US conservation areas, we found that locally abundant invasive species tend to be more widespread and more widely shared than less abundant invasive species. There is also a positive relationship between homogenization by invasive species and the magnitude of human disturbance. Main conclusions Invasive non-native species tend to be disproportionately shared among communities relative to non-invasive non-native species. This effect is enhanced by human disturbance, as measured by the ratio of non-native to native species. There is a synergism between abundance and geographical range which enhances the homogenizing effects of abundant species. Invasive species, with wide ecological niches, are more widely shared among communities and more locally abundant. Abundant invasive species are thus more spatially homogenizing, and more ecologically dominant (functionally homogenizing). Also, 'perceived homogenization' is probably greater than homogenization measured by the increase in shared species. The abundant species typically seen by the casual observer in a biological community are probably more commonly shared between communities than less common species. Studies that lack abundance data and measure homogenization only on the basis of shared species, which includes most homogenization studies to date, probably underestimate the homogenizing impacts of non-native species as perceived by people.",24,2007,16,3,394,400
"Pueyo, Y; Alados, CL",Abiotic factors determining vegetation patterns in a semi-arid Mediterranean landscape: Different responses on gypsum and non-gypsum substrates,JOURNAL OF ARID ENVIRONMENTS,Article,"In arid and semi-arid regions water availability is the main factor determining vegetation patterns. On gypsum outcrops, vegetation is also conditioned by soil physical (i.e. surface crust) and chemical (i.e. ion unbalance) restrictions, which promote a highly specialist and endemic gypsophile flora. Topographical and climatic variability affect the rigors of gypsum soil environment, and thus, plant community distribution along environmental gradients can differ between gypsum and non-gypsum substrates. The aim of the paper was to evaluate the relative importance of different abiotic factors as drivers of plant communities in gypsum and non-gypsum substrates. While non-gypsophile vegetation is expected to be determined mainly by aridity, gypsophile vegetation could show more. complex patterns, following the relaxation of the rigors of gypsum soil under environmental gradients such as steep slopes and mesic conditions. We compared the relationships between presence and cover of three plant communities (open woodland, dwarf-shrubland and garrigue) on gypsum and non-gypsum substrates with environmental factors, after removing the effect of human use. Generalized additive models (GAM) and generalized linear models (GLM) were employed. Results showed that xeric conditions inhibited development and recovery of vegetation, but plant communities on gypsum substrate did not always respond in the same way as non-gypsum vegetation. While the degree of aridity (determined by precipitation and temperature) conditioned non-gypsum vegetation strongly, favouring less developed plant communities, topographical factors (slope aspect and angle) were the main determinants of gypsum plant community patterns. We conclude that gypsum substrate determines strongly the plant community patterns in a semi-arid Mediterranean landscape, as it can be observed by the strong response of gypsophile vegetation to the relaxation of the rigors of gypsum soils with topography (i.e. steep and north oriented slopes). (c) 2006 Elsevier Ltd. All rights reserved.",24,2007,69,3,490,505
"Kahn, AE; Durako, MJ",Thalassia testudinum seedling responses to changes in salinity and nitrogen levels,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,"The dominant seagrass in Florida Bay, Thalassia testudinum Banks ex Konig, is a stenohaline species with optimum growth around marine salinity (30-40PSU). Previous studies have examined the responses of mature short shoots of T testudinum to environmental stresses. Our goal was to assess responses of seedlings to changes in water chemistry in Florida Bay that might occur as part of the Comprehensive Everglades Restoration Plan (CERP). Specifically, we examined seedling survival, growth, photosynthesis, respiration and osmolality in response to hypo- and hyper-salinity conditions, as well as possible synergistic effects of depleted and elevated ammonium concentrations. The study was conducted in mesocosms on T testudinum seedlings collected during August 2003 near Florida Bay. Hyper- and hypo-saline conditions were detrimental to the fitness of T testudinum seedlings. Plants at 0 and 70PSU exhibited 100% mortality and a significant decrease in survival was observed in the 10, 50 and 60PSU treatments. Increased levels of ammonium further decreased growth in the lower salinity treatments. Seedlings in 30 and 40PSU had the greatest growth. Quantum yield and relative electron transport rate, measured using PAM fluorometry, showed a decrease in photosynthetic performance on either side of the 30-40PSU optimum. Tissue osmolality decreased significantly with decreased salinity but tissue remained consistently hyperosinotic to the media across all salinity treatments. Maintaining negative water potential and allocating more energy to osmoregulation may decrease the productivity of this species in salinity-stress conditions. Our results suggest that the salinity-tolerance limits of this seagrass at the seedling stage are not as broad as those reported for mature plants. Increased fresh water inflow, especially if co-occurring with an increase in water-column ammonium, could negatively affect successful recruitment of T. testudinum seedlings in northern regions of Florida Bay. (c) 2006 Elsevier B.V. All rights reserved.",24,2006,335,1,1,12
"Begin, M; Roff, DA; Debat, V","The effect of temperature and wing morphology on quantitative genetic variation in the cricket Gryllus firmus, with an appendix examining the statistical properties of the Jackknife-manova method of matrix comparison",JOURNAL OF EVOLUTIONARY BIOLOGY,Article,"We investigated the effect of temperature and wing morphology on the quantitative genetic variances and covariances of five size-related traits in the sand cricket, Gryllus firmus. Micropterous and macropterous crickets were reared in the laboratory at 24, 28 and 32 degreesC. Quantitative genetic parameters were estimated using a nested full-sib family design, and (co)variance matrices were compared using the T method, Flury hierarchy and Jackknife-MANOVA method. The results revealed that the mean phenotypic value of each trait varied significantly among temperatures and wing morphs, but temperature reaction norms were not similar across all traits. Micropterous individuals were always smaller than macropterous individuals while expressing more phenotypic variation, a finding discussed in terms of canalization and life-history trade-offs. We observed little variation between the matrices of among-family (co)variation corresponding to each combination of temperature and wing morphology, with only one matrix of six differing in structure from the others. The implications of this result are discussed with respect to the prediction of evolutionary trajectories.",24,2004,17,6,1255,1267
"Ochoa-Gaona, S; Gonzalez-Espinosa, M; Meave, JA; Bon, VSD","Effect of forest fragmentation on the woody flora of the highlands of Chiapas, Mexico",BIODIVERSITY AND CONSERVATION,Article,"This study was conducted in the Chiapas Highlands, a tropical mountain region where traditional agricultural practices have resulted in a mosaic landscape of forest fragments embedded in a matrix of secondary vegetation and crop fields. The question addressed was how may woody species richness be affected by forest fragment attributes derived from traditional land-use patterns. Species inventories of total woody species, canopy and understorey trees, and shrubs were obtained in 22 forest fragments ( greater than or equal to5 ha). Multiple regression analyses were applied to examine the effects of size, matrix, isolation and shape of the forest fragments on richness of these species guilds. Fragment size was correlated with shape (r = 0.75) and isolation ( r = - 0.69), and isolation was correlated with shape ( r = - 0.75). Total species richness, and number of shrubs and understorey trees in fragments were related to isolation; moreover, additive effects of fragment shape were found for shrubs. The number of canopy species was not related to any fragment variable. Matrix did not help to explain species richness, possibly due to the landscape structure created by the traditional land-use patterns. In addition to size and isolation, we point out the need of considering shape and matrix as additional fragmentation attributes, along with social and economic factors, if we are ever going to be successful in our management and conservation actions.",24,2004,13,5,867,884
"Schneider, SH; Root, TL",Ecological implications of climate change will include surprises,BIODIVERSITY AND CONSERVATION,Article,"In addition to assessing the impacts of CO2 doubling on environment and society, more consideration is needed to estimate extreme events or 'surprises'. This is particularly important at the intersection of disciplines like climate and ecology because the potential for large discontinuities is high given all the possible climate/biota interactions. The vast disparities in scales encountered by those working in traditional ecology (typically 20 m) and climatology (typically 200 km) make diagnoses of such interactions difficult, but these can be addressed by an emerging research paradigm we call strategic cyclical scaling (SCS). The need to anticipate outlier events and assign them subjective probabilities suggests emphasis on interdisciplinary research associations. The desire to reduce societal vulnerability to such events suggests the need to build adaptive management and diverse economic activities into social organizations. The effectiveness of adaptation responses to anticipated climatic changes is complicated when consideration of transient changes, regional disturbances, large unforseeable natural fluctuations and surprises are considered. Slowing down the rate of disturbances and decreasing vulnerability are advocated as the most prudent responses to the prospect of human-induced climatic changes.",24,1996,5,9,1109,1119
"Wagenhoff, A; Townsend, CR; Matthaei, CD",Macroinvertebrate responses along broad stressor gradients of deposited fine sediment and dissolved nutrients: a stream mesocosm experiment,JOURNAL OF APPLIED ECOLOGY,Article,"1. Degradation of freshwater ecosystems is a major concern worldwide. Agriculture introduces multiple stressors to streams, presenting a challenge for freshwater managers who must understand the relative strengths of individual stressor effects and their combined multiple-stressor effects. 2. Using a replicated regression design, we manipulated levels of fine sediment and nutrients to create a broad eight-point gradient for each stressor across 128 stream mesocosms to determine the shapes of macroinvertebrate responses after 21 days of exposure. 3. Subsidystress response patterns occurred along both stressor gradients. Sediment addition provided an initial subsidy for some pollution-tolerant taxa and total macroinvertebrate density, but produced consistently negative effects for other taxa, total taxon richness and the density and richness of pollution-sensitive Ephemeroptera, Plecoptera, Trichoptera (EPT) taxa. Nutrient enrichment provided an initial subsidy for densities of two common EPT taxa, total EPT density, macroinvertebrate and EPT taxon richness. 4. Few macroinvertebrate variables were affected by a single stressor (always fine sediment). The majority of responses were additive multiple-stressor patterns, although Chironomidae density and EPT taxon richness followed complex synergistic patterns. 5. Fine sediment was a much more pervasive stressor than augmented nutrient concentrations. Overall, macroinvertebrate traits responded to stressors as strongly as community variables or individual taxa. 6. Synthesis and applications. Managing both fine sediment and nutrient inputs from agriculture is crucial to achieve good stream condition but priority should be given to minimizing fine sediment, which should be maintained below a threshold of 5% cover and 0.5-mm depth. Managers also need to be wary of interactive multiple-stressor effects because ecological outcomes of an increase in stressor load may be worse than predicted based on the knowledge of single-stressor effects.",23,2012,49,4,892,902
"Neumann, W; Ericsson, G; Dettki, H; Bunnefeld, N; Keuler, NS; Helmers, DP; Radeloff, VC",Difference in spatiotemporal patterns of wildlife road-crossings and wildlife-vehicle collisions,BIOLOGICAL CONSERVATION,Article,"Human-wildlife conflicts like wildlife-vehicle collisions pose major challenges for the management and conservation of mobile wildlife in human-dominated landscapes, particularly when large species are involved. Mitigation measures to reduce risk of collisions may be based on information given by wildlife movement and collision data. To test whether movement and collision data indicate different spatiotemporal risk zones, we predicted year-around probabilities of road-crossings of GPS-marked female moose (Alces alces) (n = 102), and compared them with spatiotemporal patterns of police recorded moose-vehicle collisions (n = 1158). Probability of moose road-crossings peaked in May, June, and between mid November and the beginning of January, i.e. during moose migration. Moose-vehicle collisions were more likely during autumn and winter. Comparing environmental attributes of crossing and collision sites showed significant differences. The likelihood of collisions increased with the abundance of human-modified areas and higher allowed speed, and was lower on forest roads. We found that animal movement data alone are insufficient to predict collision risk zones, while analyses of collision data alone overestimate the collision risk in certain habitats. Our findings suggest that higher collision risk is largely due to low light and poor road surface conditions rather than to more animal road-crossings. This suggests that efforts to reduce wildlife collisions should focus on driver attitudes and road conditions rather than animal movement, and any efforts to model the collision risk will require actual collision data, and not just movement data. (c) 2011 Elsevier Ltd. All rights reserved.",23,2012,145,1,70,78
"Jansen, M; Stoks, R; Coors, A; van Doorslaer, W; de Meester, L",COLLATERAL DAMAGE: RAPID EXPOSURE-INDUCED EVOLUTION OF PESTICIDE RESISTANCE LEADS TO INCREASED SUSCEPTIBILITY TO PARASITES,EVOLUTION,Article,"Although natural populations may evolve resistance to anthropogenic stressors such as pollutants, this evolved resistance may carry costs. Using an experimental evolution approach, we exposed different Daphnia magna populations in outdoor containers to the carbamate pesticide carbaryl and control conditions, and assessed the resulting populations for both their resistance to carbaryl as well as their susceptibility to infection by the widespread bacterial microparasite Pasteuria ramosa. Our results show that carbaryl selection led to rapid evolution of carbaryl resistance with seemingly no cost when assessed in a benign environment. However, carbaryl-resistant populations were more susceptible to parasite infection than control populations. Exposure to both stressors reveals a synergistic effect on sterilization rate by P. ramosa, but this synergism did not evolve under pesticide selection. Assessing costs of rapid adaptive evolution to anthropogenic stress in a semi-natural context may be crucial to avoid too optimistic predictions for the fitness of the evolving populations.",23,2011,65,9,2681,2691
"Crous, KY; Zaragoza-Castells, J; Low, M; Ellsworth, DS; Tissue, DT; Tjoelker, MG; Barton, CVM; Gimeno, TE; Atkin, OK",Seasonal acclimation of leaf respiration in Eucalyptus saligna trees: impacts of elevated atmospheric CO2 and summer drought,GLOBAL CHANGE BIOLOGY,Article,"Understanding the impacts of atmospheric [CO2] and drought on leaf respiration (R) and its response to changes in temperature is critical to improve predictions of plant carbon-exchange with the atmosphere, especially at higher temperatures. We quantified the effects of [CO2]-enrichment (+240 ppm) on seasonal shifts in the diel temperature response of R during a moderate summer drought in Eucalyptus saligna growing in whole-tree chambers in SE Australia. Seasonal temperature acclimation of R was marked, as illustrated by: (1) a downward shift in daily temperature response curves of R in summer (relative to spring); (2)approximate to 60% lower R measured at 20oC (R-20) in summer compared with spring; and (3) homeostasis over 12 months of R measured at prevailing nighttime temperatures. R-20, measured during the day, was on average 30-40% higher under elevated [CO2] compared with ambient [CO2] across both watered and droughted trees. Drought reduced R-20 by approximate to 30% in both [CO2] treatments resulting in additive treatment effects. Although [CO2] had no effect on seasonal acclimation, summer drought exacerbated the seasonal downward shift in temperature response curves of R. Overall, these results highlight the importance of seasonal acclimation of leaf R in trees grown under ambient- and elevated [CO2] as well as under moderate drought. Hence, respiration rates may be overestimated if seasonal changes in temperature and drought are not considered when predicting future rates of forest net CO2 exchange.",23,2011,17,4,1560,1576
"Dickson, TL; Foster, BL",Fertilization decreases plant biodiversity even when light is not limiting,ECOLOGY LETTERS,Letter,"P>Many researchers hypothesize that plant richness declines at high soil fertility (and high productivity) due to light limitation. We tested this hypothesis in an old-field by independently manipulating fertilization and light levels via shade cloth (decreased light), vegetation tie-backs (increased light) and vegetation clipping (increased light). Droughts occurred during two of the four years of the study, and we found that higher light levels were generally associated with decreased plant richness in drought years but increased plant richness in wet years. Most importantly, fertilization decreased richness whether light availability limited richness (wet years) or did not limit richness (drought years), and the effects of fertilization and light manipulation treatments were additive. These results suggest that effects of fertilization on plant richness are at least partly independent of light levels and that competition for resources other than light plays a substantial role in the decline of plant richness after fertilization.",23,2011,14,4,380,388
"Mosher, ES; Silander, JA; Latimer, AM",The role of land-use history in major invasions by woody plant species in the northeastern North American landscape,BIOLOGICAL INVASIONS,Article,"Land-use history as a predictor of invasive alien plant distributions has received little study, especially across large spatial and temporal scales. Here we evaluate the importance of land-use history and other environmental characteristics as predictors of the distributions of a suite important invasive woody plant species in the northeastern United States. Using historical aerial photographs, we delineated 69 years (1934-2003) of land-use change across a typically heterogeneous 95 km(2) landscape. We randomly surveyed over 500 sites for six invasive plant species. We found that land use history patterns strongly affected presence and abundance of the invasive plants as a group, but affected some species more than others. Generally, past agricultural use favored invasive species, whereas intact forest blocks discouraged them. Current land-use trends toward residential/commercial development favor disturbance-adapted species like Celastrus orbiculatus (asiatic bittersweet) and will probably slow the spread of post-agricultural specialists such as Berberis thunbergii (Japanese barberry).",23,2009,11,10,2317,2328
"Brook, BW","Synergies between climate change, extinctions and invasive vertebrates",WILDLIFE RESEARCH,Article,"There is mounting evidence for the direct ecological impacts of recent climate change, and for amplifying feedbacks, in both directions, with other drivers of biodiversity loss, such as habitat fragmentation and overexploitation. Surprisingly, however, empirical and experimental data on the links between climate change and species introductions are scant, especially for invasive vertebrates. Because the theoretical basis for their mutually reinforced impact is strong, this dearth of evidence likely reflects the difficulty in studying such interactions, and insufficient attention to this topic, rather than a genuine lack of association. Given the unprecedented rate of recent and predicted future climate change, and the continued exponential rise in species invasions worldwide, it is imperative that we sharpen our scientific focus so as to best equip wildlife managers with the knowledge to tackle this inevitable synergy of threats.",23,2008,35,3,249,252
"Pueyo, Y; Alados, CL","Effects of fragmentation, abiotic factors and land use on vegetation recovery in a semi-arid Mediterranean area",BASIC AND APPLIED ECOLOGY,Article,"Recent vegetation dynamics in the northern and western Mediterranean region are mainly the result of socio-economical changes. Old-field succession and the cessation of extensive grazing have enhanced reforestation. However, vegetation recovery after disturbance can be impaired in and environments. Here we analysed recent vegetation dynamics (1957-98) in a northern, semi-arid area of the Mediterranean region: the Middle Ebro Valley. Centuries of timber harvesting, cropping and grazing in this region have produced a highly fragmented landscape. Recently, socio-economic changes have led to intensified use of productive areas. Traditional land use in marginal areas has been abandoned. In this study, we examined the main factors related to vegetation recovery in a fragmented, semi and landscape. We used aerial photographs from 1957 and 1998 to produce vegetation maps. A transition matrix showed that vegetation recovery was very scarce. Generalized additive models (GAM) and generalized linear models (GLM) were used to study the relationships between vegetation dynamics, fragmentation, water availability, present land use and land use changes in the area. We found a strong negative relationship between distance from seed or propagule source and vegetation recovery. This indicates that fragmentation contributes to limiting recovery. In addition, we observed that aridity limited vegetation recovery. However, current land use and topography showed weaker relationships with vegetation recovery than those reported in other Mediterranean and semi-arid landscapes. We conclude that fragmentation and aridity are the main determinants of vegetation recovery in the Middle Ebro Valley, white current land use plays a secondary role. (c) 2006 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.",23,2007,8,2,158,170
"Cuppen, JGM; Crum, SJH; Van den Heuvel, HH; Smidt, RA; Van den Brink, PJ",Effects of a mixture of two insecticides in freshwater microcosms: I. Fate of chlorpyrifos and lindane and responses of macroinvertebrates,ECOTOXICOLOGY,Article,"Effects of chronic application of a mixture of the insecticides chlorpyrifos and lindane were studied in indoor freshwater microcosms. The exposure concentrations (based on 0, 0.005, 0.01, 0.05, 0.1 and 0.5 times the LC50 of the most sensitive standard test organism for each compound) were kept at a constant level for four weeks. The calculated mean concentrations for chlorpyrifos were found to be almost at their corresponding nominal level during the treatment period. The mean calculated lindane concentrations, however, were found to be 15-40% higher than intended. In the post treatment period both insecticides dissipated fast (t(1)/2: chlorpyrifos 9 days, lindane 22 days) from the water phase. The concentrations of the mixture at the highest treatment level corresponded to 0.53 toxic units (TU) for Daphnia magna and 0.61 TU for the most sensitive fish. The decomposition of Populus leaves in litter bags was significantly lower at the three highest insecticide concentrations. The macroinvertebrate community was seriously affected at the three highest treatment levels, with Crustacea and the Chironomidae Corynoneura proving to be the most sensitive groups. Gastropoda and Oligochaeta were relatively insensitive and some taxa (e.g. Valvata piscinalis, juvenile Physa fontinalis, Nemertea and Stylaria lacustris) increased in numbers. The observed effects could be explained from the individual toxicity of the insecticides to the invertebrates, and did not indicate synergistic effects. A second paper (Van den Brink et al., 2002) addresses the effects on other endpoints, as well as the overall risk assessment of the insecticide mixture.",23,2002,11,3,165,180
"Baer, CF; Travis, J",Direct and correlated responses to artificial selection on acute thermal stress tolerance in a livebearing fish,EVOLUTION,Article,"Tradeoffs in performance or fitness across environments have important implications regarding the nature of evolutionary constraints. It remains controversial whether tradeoffs such as these reflect genetic correlations that are genuine evolutionary constraints. However, if such long-term genetic constraints do exist, they must be due to underlying pleiotropy such that alleles that confer high performance in one environment invariably confer low performance in another. The distribution of genetic correlations within and among populations can provide insight about the existence of such pleiotropic tradeoffs. The long-term association of certain teleost fish taxa with particular abiotic environments suggests that tradeoffs in performance across environments have constrained the geographic distribution of those taxa. Here we report the results of an experiment in which we artificially selected on acute heat- and cold-stress tolerance in two stocks of the poeciliid fish Heterandria formosa from source populations with different thermal histories. Unexpectedly, we observed no direct responses to selection. Under certain conditions, fish from the different source populations differed significantly in cold tolerance, but not in heat tolerance. The results suggest there are no strong pleiotropic tradeoffs between heat- and cold-stress tolerance in these populations.",23,2000,54,1,238,244
"WEBER, RE; DEZWAAN, A; BANG, A","INTERACTIVE EFFECTS OF AMBIENT COPPER AND ANOXIC, TEMPERATURE AND SALINITY STRESS ON SURVIVAL AND HEMOLYMPH AND MUSCLE-TISSUE OSMOTIC EFFECTORS IN MYTILUS-EDULIS",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,"To discern mechanisms of synergies between natural and pollutional environmental stress factors, we investigated the effects of sublethal (20 ppb) and lethal (200 ppb) Cu concentrations on mortality and on hemolymph and cellular osmotic effectors in Mytilus edulis under various combinations of anoxia, normoxia, high and low salinity and temperature. Chronic (6-wk) exposure to sublethal Cu and subsequent subjection to temperature and salinity stress had no significant effect on survival under aerial exposure at either 6 or 15-degrees-C. Compared with virtually 100% survival observed in Cu-free animals under normoxia, both 200 ppb Cu and anoxia (singly) drastically decreased survival, which further deteriorated when the animals were subjected to both stresses combined, high temperature or low salinity. The Q10LT50 values LT50t + 10-degrees-C/LT50t-degrees-C) of 2-2.5 observed under all condition sets in the presence of 200 ppb Cu and/or under anoxia, and of approximately 3 under aerial exposure following chronic subjection to 20 ppb Cu suggest that temperature rise increases mortality through accelerated depletion of metabolic reserves. In the adductor muscle, inorganic components are implicated in isosmotic intracellular regulation following salinity change. Sublethal Cu did not appreciably affect hemolymph osmolytes, that predominantly consist of chloride salts, or cellular osmotic components. Anoxia markedly decreased cellular K+ and increased cellular Na+ and Cl- concentrations. The cellular effects of anoxia increased in the additional presence of 200 ppb Cu and generally correlated with opposite changes in hemolymph ion levels, indicating disruption of transmembrane concentration gradients.",23,1992,159,2,135,156
"Roberts, DA; Birchenough, SNR; Lewis, C; Sanders, MB; Bolam, T; Sheahan, D",Ocean acidification increases the toxicity of contaminated sediments,GLOBAL CHANGE BIOLOGY,Letter,"Ocean acidification (OA) may alter the behaviour of sediment-bound metals, modifying their bioavailability and thus toxicity. We provide the first experimental test of this hypothesis with the amphipod Corophium volutator. Amphipods were exposed to two test sediments, one with relatively high metals concentrations (Sigma(metals) 239 mg kg(-1)) and a reference sediment with lower contamination (Sigma(metals) 82 mg kg(-1)) under conditions that mimic current and projected conditions of OA (390-1140 mu atm pCO(2)). Survival and DNA damage was measured in the amphipods, whereas the flux of labile metals was measured in the sediment and water column (WC) using Diffusive Gradients in Thin-films. The contaminated sediments became more acutely toxic to C. volutator under elevated pCO(2) (1140 mu atm). There was also a 2.7-fold increase in DNA damage in amphipods exposed to the contaminated sediment at 750 mu atm pCO(2), as well as increased DNA damage in organisms exposed to the reference sediment, but only at 1140 mu atm pCO(2). The projected pCO(2) concentrations increased the flux of nickel and zinc to labile states in the WC and pore water. However, the increase in metal flux at elevated pCO(2) was equal between the reference and contaminated sediments or, occasionally, greater from reference sediments. Hence, the toxicological interaction between OA and contaminants could not be explained by effects of pH on metal speciation. We propose that the additive physiological effects of OA and contaminants will be more important than changes in metal speciation in determining the responses of benthos to contaminated sediments under OA. Our data demonstrate clear potential for near-future OA to increase the susceptibility of benthic ecosystems to contaminants. Environmental policy should consider contaminants within the context of changing environmental conditions. Specifically, sediment metals guidelines may need to be reevaluated to afford appropriate environmental protection under future conditions of OA.",22,2013,19,2,340,351
