"authors","title","journal","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Lehtonen, M","the environmental - social interface of sustainable development capabilities, social capital, institutions","ecological economics","Article; Proceedings Paper","the social dimension has commonly been recognised as the weakest 'pillar' of sustainable development, notably when it comes to its analytical and theoretical underpinnings. while increasing attention has lately been paid to social sustainability, the interaction between the 'environmental' and the 'social' still remains a largely uncharted terrain. nevertheless, one can argue that the key challenges of sustainable development reside at the interfaces-synergies and trade-offs-between its various dimensions. this paper looks for preliminary ideas on frameworks for analysing the environmental-social interface. it first discusses the concept of sustainable development and the relations of the three dimensions of sustainability on the basis of the fundamental premises of neoinstitutional and ecological economics, and briefly presents the 'bioeconomy model'. based on this conceptualisation of sustainable development, it then goes on to analyse two popular ways of addressing the social dimension of sustainability, namely, the 'capability approach' of amartya sen, and the concept of social capital, and discusses the potential of these as bases for the analysis of the environment-social interaction. the organisation for economic cooperation and development (oecd) environmental performance review (epr) programme is presented as an example of attempts to analyse the environmental-social interface in practice. the paper concludes by noting that a single framework for studying environmental-social interface is neither feasible nor desirable. it questions the usefulness of analysing only two dimensions of sustainability at a time; and emphasises the need to situate the analysis in its context. in particular, it stresses the need to involve the potential users, as well as to take into account the planned use of the analysis and the interactions between different levels of analysis and decision-making. capabilities and social capital can both be useful in structuring thoughts, but are not as such directly applicable as suitable analytical frameworks. in particular, they do not provide adequate tools for examining the social preconditions for institutional change needed for environmentally sustainable development. (c) 2004 elsevier b.v. all rights reserved.",88,2004,49,"2","199","214",1,0,0,1
"Sih, A; Bell, AM; Kerby, JL","two stressors are far deadlier than one","trends in ecology & evolution","Article","natural organisms often face a barrage of stressors, both natural and human induced. two known stressors that impact amphibian populations are pesticides and predators. recent work by relyea and by mills and relyea reveals strikingly strong, synergistic negative effects of these two factors on amphibian larvae. adding predation risk on top of supposedly sublethal concentrations of a common pesticide caused a massive increase in larval mortality. interestingly, the increased mortality did not require exposure to actual predation . that is, simply the 'smell of danger' (predator chemical cues) caused 80-90% of larvae that were held in otherwise 'safe' levels of the pesticide to die. notably, this effect occurred in some species, but not in others. these new studies highlight the need for further interdisciplinary work on the conditions under which combinations of stressors have particularly strong negative effects on natural organisms.",88,2004,19,"6","274","276",1,0,0,1
"Crisp, MD; Trewick, SA; Cook, LG","hypothesis testing in biogeography","trends in ecology & evolution","Article","often, biogeography is applied only as a narrative addition to phylogenetic studies and lacks scientific rigour. however, if research questions are framed as hypotheses, biogeographical scenarios become testable. in this review, we explain some problems with narrative biogeography and show how the use of explicit hypotheses is changing understanding of how organisms came to be distributed as they are. developing synergies between biogeography, ecology, molecular dating and palaeontology are providing novel data and hypothesis-testing opportunities. new approaches are challenging the classic 'gondwana' paradigm and a more complicated history of the southern hemisphere is emerging, involving not only general drivers such as continental drift and niche conservatism, but also drowning and re-emergence of landmasses, biotic turnover and long-distance colonization.",86,2011,26,"2","66","72",1,0,0,1
"Kay, KM; Sargent, RD","the role of animal pollination in plant speciation: integrating ecology, geography, and genetics","annual review of ecology evolution and systematics","Review; Book Chapter","although animal pollination is often proposed as a major driver of floral divergence, questions remain about its importance in plant speciation. one issue is whether pollinator specialization, traditionally thought necessary for floral isolation, is prevalent enough to have played a major role in speciation. furthermore, the ecological and geographic scenarios under which pollinator transitions occur are poorly understood, and the underlying genetic factors are just beginning to be uncovered for a few systems. nevertheless, macroevolutionary studies consistently show that transitions to animal pollination are accompanied by an increase in diversification rate. here we consider several models and diverse empirical data on how pollinators could influence speciation. we conclude that floral isolation is rarely, if ever, sufficient to cause speciation on its own, but that it acts synergistically with other isolating mechanisms. a more comprehensive approach is the key to an improved understanding of the role of pollinators in angiosperm speciation.",86,2009,40,"","637","656",1,0,0,1
"McClanahan, T; Polunin, N; Done, T","ecological states and the resilience of coral reefs","conservation ecology","Review","we review the evidence for multiple ecological states and the factors that create ecological resilience in coral reef ecosystems. there are natural differences among benthic communities along gradients of water temperature, light, nutrients, and organic matter associated with upwelling-downwelling and onshore-offshore systems. along gradients from oligotrophy to eutrophy, plant-animal symbioses tend to decrease, and the abundance of algae and heterotrophic suspension feeders and the ratio of organic to inorganic carbon production tend to increase. human influences such as fishing, increased organic matter and nutrients, sediments, warm water, and transportation of xenobiotics and diseases are common causes of a large number of recently reported ecological shifts. it is often the interaction of persistent and multiple synergistic disturbances that causes permanent ecological transitions, rather than the succession of individual short-term disturbances. for example, fishing can remove top-level predators, resulting in the ecological release of prey such as sea urchins and coral-eating invertebrates. when sea urchins are not common because of unsuitable habitat, recruitment limitations, and diseases, and when overfishing removes herbivorous fish, frondose brown algae can dominate. terrigenous sediments carried onto reefs as a result of increased soil erosion largely promote the dominance of turf or articulated green algae. elevated nutrients and organic matter can increase internal eroders of reef substratum and a mixture of filamentous algae. local conservation actions that attempt to reduce fishing and terrestrial influences promote the high production of inorganic carbon that is necessary for reef growth. however, global climate change threatens to undermine such actions because of increased bleaching and mortality caused by warm-water anomalies, weakened coral skeletons caused by reduced aragonite availability in reef waters, and increased incidence of diseases in coral reef species. consequently, many coral reefs, including those that are heavily managed, have experienced net losses in accumulated inorganic carbon in recent decades and appear likely to continue this trend in coming decades. reefs urgently need to be managed with a view to strengthening their resilience to the increased frequency and intensity of these pressures. ecological targets must include the restoration or maintenance of species diversity, keystone species, spatial heterogeneity, refugia, and connectivity. achieving these goals will require unprecedented cooperative synergy between human organizations at all political levels, from intergovernmental to local.",84,2002,6,"2","","",1,0,0,1
"Kercher, SM; Zedler, JB","multiple disturbances accelerate invasion of reed canary grass (phalaris arundinacea l.) in a mesocosm study","oecologia","Article","disturbances that intensify with agriculture and/or urban development are thought to promote the spread of invasive plants, such as the clonal perennial reed canary grass ( phalaris arundinacea l). to test this relationship and interactions among disturbances, we subjected wet prairie assemblages within 1.1 m(2) mesocosms to invasion by phalaris and addition of nutrients, sediments, and flooding. species richness decreased with the application of sediments and/or flooding of 4 consecutive weeks or longer. losses of up to six dominant and subdominant species in these treatments increased light transmission through the plant canopy by as much as 400% over the control. light availability in july and september was a strong predictor of end-of-season aboveground biomass of phalaris. phalaris was also 35% and 195% more productive when nutrients were added at low and high levels, respectively. multiple factors in combination were usually additive in their effects on invasion, but sediments and nutrients interacted with flood regime to synergistically increase invasion in some cases. a separate experiment likewise revealed a synergistic interaction between added nutrients and simulated grazing. we suggest that multiple factors be mitigated simultaneously to reduce invasion of phalaris.",83,2004,138,"3","455","464",1,0,1,2
"Coors, A; De Meester, L","synergistic, antagonistic and additive effects of multiple stressors: predation threat, parasitism and pesticide exposure in daphnia magna","journal of applied ecology","Article","1. predation and parasitism are important factors in the ecology and evolution of natural populations and may, along with other environmental factors, interact with the impact of anthropogenic pollutants. 2. our study aimed at identifying potential interactions between three stressors (predation threat, parasitism and pesticide exposure) and at exploring the predictability of their joint effects by using the model of independent action. we assessed in a full-factorial design the impacts of these stressors on key life-history traits and population growth rate of the water flea daphnia magna. 3. when applied as single stressors, predation threat and parasite challenge induced varying stressor-specific adaptive responses. the pesticide carbaryl was applied at a generally sublethal concentration, which caused low mortality only in first-brood offspring. 4. pesticide exposure interacted synergistically with parasite challenge regarding survival, which suggests immunomodulatory activity of the pesticide. predation threat by phantom midge larvae showed antagonistic interactions for amount of first-brood offspring with both parasite challenge and carbaryl exposure. all stressors additively affected age and size at maturity, which added up to a considerable delay in the onset of reproduction in the three-stressor combination. the intrinsic rate of natural increase, r, reflected the non-additive and additive effects on single endpoints and showed significant synergistic interactions for all two-stressor combinations. the combination of all stressors resulted in a dramatic reduction of r compared to the stressor-free control. 5. the model of independent action proved useful in quantitatively predicting effects of additively acting stressors, and in visualizing the occurrence and magnitude of non-additive effects in accordance with results of analysis of variances. 6. synthesis and applications. cumulative additive effects and non-additive interactions of natural antagonists and pollutants are shown to result in considerable impacts on ecologically relevant parameters. as a starting point for an environmentally more realistic risk assessment of chemicals, it may be a valuable strategy to screen for non-additive effects among many stress factors simultaneously in simplified experimental designs by using the model of independent action.",82,2008,45,"6","1820","1828",1,1,1,3
"Chapman, BB; Bronmark, C; Nilsson, JA; Hansson, LA","the ecology and evolution of partial migration","oikos","Article","partial migration, where populations of animals are composed of a mixture of resident and migratory individuals, is a widespread phenomenon in nature. it has been reported to occur in all major vertebrate groups, and can have significant ecological consequences. here we give an overview of the ecology and evolution of partial migration in animals. we firstly review the different types of partial migration, and assess the ecological drivers responsible for driving individual differences in migratory tendency within populations. a variety of factors can be important in promoting the evolution of partial migration, including competition for resources or breeding opportunities, predation risk and intraspecific niche diversity. often various factors act synergistically to create complex patterns of movement polymorphism within populations. the question of how partial migration is maintained over evolutionary timescales is also addressed. whilst many theoretical considerations of partial migration utilise an evolutionary stable state (ess) paradigm, empirical evidence for this is lacking. rather the evidence suggests that partial migration is mostly condition dependent, and the optimum outcome for an individual is dependent upon its phenotype. what determines whether an individual follows a migratory or resident strategy is discussed in light of new theory and empirical data which supports the idea that environmentally responsive genetic thresholds are important across a range of species, from birds to fish, in proximately shaping migratory tendency. finally we espouse our vision of how partial migration research will develop in the future, and suggest a number of exciting directions that studies into migratory dimorphism may take in the coming years.",79,2011,120,"12","1764","1775",1,0,0,1
"Mantyka-Pringle, CS; Martin, TG; Rhodes, JR","interactions between climate and habitat loss effects on biodiversity: a systematic review and meta-analysis","global change biology","Article","climate change and habitat loss are both key threatening processes driving the global loss in biodiversity. yet little is known about their synergistic effects on biological populations due to the complexity underlying both processes. if the combined effects of habitat loss and climate change are greater than the effects of each threat individually, current conservation management strategies may be inefficient and at worst ineffective. therefore, there is a pressing need to identify whether interacting effects between climate change and habitat loss exist and, if so, quantify the magnitude of their impact. in this article, we present a meta-analysis of studies that quantify the effect of habitat loss on biological populations and examine whether the magnitude of these effects depends on current climatic conditions and historical rates of climate change. we examined 1319 papers on habitat loss and fragmentation, identified from the past 20 years, representing a range of taxa, landscapes, land-uses, geographic locations and climatic conditions. we find that current climate and climate change are important factors determining the negative effects of habitat loss on species density and/or diversity. the most important determinant of habitat loss and fragmentation effects, averaged across species and geographic regions, was current maximum temperature, with mean precipitation change over the last 100 years of secondary importance. habitat loss and fragmentation effects were greatest in areas with high maximum temperatures. conversely, they were lowest in areas where average rainfall has increased over time. to our knowledge, this is the first study to conduct a global terrestrial analysis of existing data to quantify and test for interacting effects between current climate, climatic change and habitat loss on biological populations. understanding the synergistic effects between climate change and other threatening processes has critical implications for our ability to support and incorporate climate change adaptation measures into policy development and management response.",78,2012,18,"4","1239","1252",1,0,0,1
"Caujape-Castells, J; Tye, A; Crawford, DJ; Santos-Guerra, A; Sakai, A; Beaver, K; Lobin, W; Florens, FBV; Moura, M; Jardim, R; Gomes, I; Kueffer, C","conservation of oceanic island floras: present and future global challenges","perspectives in plant ecology evolution and systematics","Review","current threats to the planet's biodiversity are unprecedented,.and they particularly imperil insular floras. in this investigation, we use the threat factors identified by the millennium ecosystem assessment as the main drivers of biodiversity loss on islands to define and rank 13 current, continuing threats to the plant diversity of nine focal archipelagos where volcanic origin (or in the seychelles a prolonged isolation after a continental origin) has produced a high degree of endemicity and fragility in the face of habitat alteration. we also conduct a global endangerment assessment based on the numbers of insular endemic plants in the endangered (en) and critically endangered (cr) iucn categories for 53 island groups with an estimated 9951 endemic plant species, providing a representative sample of the world's insular systems and their floristic richness. our analyses indicate that isolation does not significantly influence endangerment, but plant endemics from very small islands are more often critically endangered. we estimate that between 3500 and 6800 of the estimated 70,000 insular endemic plant species worldwide might be highly threatened (cr+en) and between ca. 2000 and 2800 of them in critical danger of extinction (cr). based on these analyses, and on a worldwide literature review of the biological threat factors considered, we identify challenging questions for conservation research, asking (i) what are the most urgent priorities for the conservation of insular species and floras, and (ii) with the knowledge and assets available, how can we improve the impact of conservation science and practice on the preservation of island biodiversity? our analysis indicates that the synergistic action of many threat factors can induce major ecological disturbances, leading to multiple extinctions. we review weaknesses and strengths in conservation research and management in the nine focal archipelagos, and highlight the urgent need for conservation scientists to share knowledge and expertise, identify and discuss common challenges, and formulate multi-disciplinary conservation objectives for insular plant endemics worldwide. to our knowledge, this is the most up-to-date and comprehensive survey yet to review the threat factors to native plants on oceanic islands and define priority research questions. (c) 2009 rubel foundation, eth zurich. published by elsevier gmbh. all rights reserved.",77,2010,12,"2","107","129",1,0,0,1
"Christensen, MR; Graham, MD; Vinebrooke, RD; Findlay, DL; Paterson, MJ; Turner, MA","multiple anthropogenic stressors cause ecological surprises in boreal lakes","global change biology","Article","the number of combinations of anthropogenic stressors affecting global change is increasing; however, few studies have empirically tested for their interactive effects on ecosystems. most importantly, interactions among ecological stressors generate nonadditive effects that cannot be easily predicted based on single-stressor studies. here, we corroborate findings from an in situ mesocosm experiment with evidence from a whole-ecosystem manipulation to demonstrate for the first time that interactions between climate and acidification determine their cumulative impact on the food-web structure of coldwater lakes. interactions among warming, drought, and acidification, rather than the sum of their individual effects, best explained significant changes in planktonic consumer and producer biomass over a 23-year period. further, these stressors interactively exerted significant synergistic and antagonistic effects on consumers and producers, respectively. the observed prevalence of long- and short-term ecological surprises involving the cumulative impacts of multiple anthropogenic stressors highlights the high degree of uncertainty surrounding current forecasts of the consequences of global change.",77,2006,12,"12","2316","2322",1,1,0,2
"Wernberg, T; Russell, BD; Moore, PJ; Ling, SD; Smale, DA; Campbell, A; Coleman, MA; Steinberg, PD; Kendrick, GA; Connell, SD","impacts of climate change in a global hotspot for temperate marine biodiversity and ocean warming","journal of experimental marine biology and ecology","Article","temperate australia is a global hotspot for marine biodiversity and its waters have experienced well-above global average rates of ocean warming. we review the observed impacts of climate change (e.g. warming, ocean acidification, changes in storm patterns) on subtidal temperate coasts in australia and assess how these systems are likely to respond to further change. observed impacts are region specific with the greatest number of species responses attributable to climate change reported in south-eastern australia, where recent ocean warming has been most pronounced. here, a decline of giant kelp (macrocystis pyrifera) and poleward range extension of a key herbivore (sea urchin) and other trophically important reef organisms has occurred. although, evidence of changes on other coastlines around australia is limited, we suggest that this is due to a lack of data rather than lack of change. because of the east-west orientation of the south coast, most of australia's temperate waters are found within a narrow latitudinal band, where any southward movement of isotherms is likely to affect species across very large areas. future increases in temperature are likely to result in further range shifts of macroalgae and associated species, with range contractions and local extinctions to be expected for species that have their northern limits along the southern coastline. while there is currently no evidence of changes attributable to non-temperature related climate impacts, potentially due to a lack of long-term observational data, experimental evidence suggests that ocean acidification will result in negative effects on calcifying algae and animals. more importantly, recent experiments suggest the combined effects of climate change and non-climate stressors (overharvesting, reduced water quality) will lower the resilience of temperate marine communities to perturbations (e.g. storms, diseases, and introduced species), many of which are also predicted to increase in frequency and/or severity. thus climate change is likely to, both by itself and in synergy with other stressors, impose change to southern australian coastal species, including important habitat-forming algae and the associated ecological functioning of temperate coasts. management of local and regional-scale stresses may increase the resistance of temperate marine communities to climate stressors and as such, provides an attractive tool for building resilience in temperate systems. (c) 2011 elsevier b.v. all rights reserved.",71,2011,400,"02-Jan","7","16",1,0,0,1
"McPeek, MA","the growth/predation risk trade-off: so what is the mechanism?","american naturalist","Review","among damselflies in natural lakes, ischnura species grow faster than coexisting enallagma species, but enallagma species have higher survival under predation than ischnura species. this growth/predation risk trade-off apparently allows these taxa to coexist in ponds and lakes across the holarctic. however, laboratory studies presented here show that the mechanism assumed by most theoretical and empirical studies to mediate this trade-off, namely activity simultaneously modulating foraging returns and predation risk, does not operate in this system. ischnura verticalis larvae were more active than larvae of enallagma species in a short-term behavioral experiment, which explains why ischnura experiences greater mortality from predation. however, this greater activity did not translate into higher feeding rates. ischnura verticalis and enallagma species ate comparable amounts of food in both the short-term behavioral experiment and a longer feeding and digestion experiment. in spite of no difference in the amount of food ingested or assimilated, i. verticalis larvae grew faster than enallagma larvae because they were better able to physiologically convert assimilated food into their own biomass in the presence of mortality threats. from these studies we understand the phenotypic mechanisms determining the antagonistic patterns of relative growth and survival between these two genera, but why these patterns exist remains unclear.",71,2004,163,"5","E88","E111",0,1,0,1
"Hartig, EK; Gornitz, V; Kolker, A; Mushacke, F; Fallon, D","anthropogenic and climate-change impacts on salt marshes of jamaica bay, new york city","wetlands","Article","field studies and aerial photograph interpretation suggest that large sections of jamaica bay salt marshes in new york city near john f. kennedy international airport are deteriorating rapidly. the relatively recent salt marsh losses may be caused by a variety of factors, potentially interacting synergistically. possible factors include reduced sediment input, dredging for navigation channels, boat traffic, and regional sea-level rise. field work included aboveground biomass measurements of spartina alterniflora, mapping plant community distribution, and documenting biogeomorphological indicators of marsh loss. current productivity (standing crop biomass), which ranged from approximately 700 to 1500 g m(-2), was typical of healthy marshes in this region, in spite of other indicators of marsh degradation. historical aerial photographs of several islands showed that sampled marshes have diminished in size by similar to 12% since 1959. overall island low marsh vegetation losses since 1974 averaged 38%, with smaller islands losing up to 78% of their vegetation cover. ground observations indicate that major mechanisms of marsh loss include increased ponding within marsh interiors, slumping along marsh edges, and widening of tidal inlets. projections of future sea-level rise, using outputs from several global climate models and data from local tide gauges, in conjunction with a range of plausible accretion rates, suggest that under current stresses, jamaica bay salt marshes are unlikely to keep pace with accelerated rates of sea-level rise in the future.",71,2002,22,"1","71","89",1,0,0,1
"Koch, MS; Erskine, JM","sulfide as a phytotoxin to the tropical seagrass thalassia testudinum: interactions with light, salinity and temperature","journal of experimental marine biology and ecology","Article","over the last several decades, sulfides have been identified as a potent phytotoxin. however, little is known about the effects of sulfide on thalassia testudinum, a dominant tropical seagrass, or other seagrass species. it has been hypothesized that high sulfide exposure is a major contributor to t. testudinum ""die-back"" in the large subtropical lagoon of south florida, florida bay. three experiments were conducted to pursue the mechanism by which t. testudinum was resilient to sulfide exposure in our previous experiment and to investigate the levels of sulfide that cause t. testudinum mortality. two low-light (similar to 150 mu mol par m(-2) s(-1)) experiments were conducted to evaluate the role of light and photosynthesis on sulfide toxicity. secondly, we tested the effects of high salinity (hs) and high temperature (ht) on sulfide tolerance to determine if these interactions could synergistically create a ""die-back"" response. leaf elongation rates were not significantly affected by below-ground sulfide exposure in the range of 1-10 mm when incubated at subsaturating light and ambient sediment ph (7.0). leaf o-2 production rates were also unaffected by sulfide exposure. in fact, all plants post-treatment possessed rhizome-extractable o-2 concentrations greater than 30%. when sulfide treatments (6 mm) were combined with hs and ht treatments, however, we observed our first ""die-back"" response. shoots exposed to 6.0 mm sulfide under hs and ht had 50% and 33% mortality rates, and those in the ht + hs treatment had 100% mortality. interestingly, no mortality was seen in the hs or ht treatments without sulfides added. the first two experiments in this study and our previous experiment clearly suggest that t. testudinum may be tolerant to short-term ( < 28 days) below-ground tissue exposure to high sulfide concentrations. an important caveat appears to be, however, when sulfide exposure is combined with other stressors common in florida bay and other tropical/subtropical lagoons and estuaries. these results point to the importance of examining multiple interactive stressors when elucidating the factors causing ""die-back"" in seagrasses. (c) 2001 elsevier science b.v. all rights reserved.",70,2001,266,"1","81","95",1,0,0,1
"O'Neill, RV; Riitters, KH; Wickham, JD; Jones, KB","landscape pattern metrics and regional assessment","ecosystem health","Article","the combination of remote imagery data, geographic information systems software, and landscape ecology theory provides a unique basis for monitoring and assessing large-scale ecological systems. the unique feature of the work has been the need to develop and interpret quantitative measures of spatial pattern-the landscape indices. this article reviews what is known about the statistical properties of these pattern metrics and suggests some additional metrics based on island biogeography, percolation theory, hierarchy theory, and economic geography. assessment applications of this approach have required interpreting the pattern metrics in terms of specific environmental endpoints, such as wildlife and water quality, and research into how to represent synergystic effects of many overlapping sources of stress.",70,1999,5,"4","225","233",1,0,0,1
"Howe, HF; Brown, JS","effects of birds and rodents on synthetic tallgrass communities","ecology","Article","we used a bird and mammal exclosure design on plowed ground to rest for the effects of granivory and herbivory by small vertebrates on early stages of tallgrass prairie succession. seed predation by birds and browsing by rodents had major and additive impacts. in high- and low-density plantings, respectively, seed-eating birds reduced plant densities by 20% and 23% and grass biomass by 24% and 34%. meadow voles did not affect plant numbers but reduced forb biomass by 35% in high- and 57% in low-density plantings. in high- and low-density plots, respectively, birds reduced species richness by 3% and 17% without influencing diversity; selective browsing by voles on two legumes and one coneflower left species number unaffected but reduced diversity by 4% and 25% by accentuating dominance of already-prominent species. bird effects were more pronounced in high-density plantings, while vole effects were most pronounced in low-density plantings. results suggest that opportunistic finches and doves that seek out high seed concentrations depress tallgrass plant densities on open ground, while voles, which selectively forage on emerging vegetation, alter community structure, especially when their home ranges include low-density plant assemblages. both results are likely to be relevant to native prairies after burns or other disturbance, and ro ecological restoration.",68,1999,80,"5","1776","1781",0,0,1,1
"Wooldridge, SA; Done, TJ","improved water quality can ameliorate effects of climate change on corals","ecological applications","Article","the threats of wide-scale coral bleaching and reef demise associated with anthropogenic climate change are widely known. moreover, rates of genetic adaptation and/or changes in the coral-zooxanthella partnerships are considered unlikely to be sufficiently fast for corals to acquire increased physiological resistance to increasing sea temperatures and declining ph. however, it has been suggested that coral reef resilience to climate change may be improved by good local management of coral reefs, including management of water quality. here, using major data sets from the great barrier reef (gbr), australia, we investigate geographic patterns of coral bleaching in 1998 and 2002 and outline a synergism between heat stress and nutrient flux as a major causative mechanism for those patterns. the study provides the first concrete evidence for the oft-expressed belief that improved coral reef management will increase the regional-scale survival prospects of coral reefs to global climate change.",67,2009,19,"6","1492","1499",1,0,0,1
"Przeslawski, R; Davis, AR; Benkendorff, K","synergistic effects associated with climate change and the development of rocky shore molluscs","global change biology","Article","global climate change and ozone layer thinning will simultaneously expose organisms to increasingly stressful conditions. early life stages of marine organisms, particularly eggs and larvae, are considered most vulnerable to environmental extremes. here, we exposed encapsulated embryos of three common rocky shore gastropods to simultaneous combinations of ecologically realistic levels of ultraviolet radiation (uvr), water temperature stress and salinity stress to identify potential interactions and associated impacts of climate change. we detected synergistic effects with increases in mortality and retardation in development associated with the most physiologically stressful conditions. the effects of uvr were particularly marked, with mortality increasing up to 12-fold under stressful conditions. importantly, the complex outcomes observed on applying multiple stressors could not have been predicted from examining environmental variables in isolation. hence, we are probably dramatically underestimating the ecological impacts of climate change by failing to consider the complex interplay of combinations of environmental variables with organisms.",66,2005,11,"3","515","522",1,0,0,1
"McConkey, KR; Prasad, S; Corlett, RT; Campos-Arceiz, A; Brodie, JF; Rogers, H; Santamaria, L","seed dispersal in changing landscapes","biological conservation","Review","a growing understanding of the ecology of seed dispersal has so far had little influence on conservation practice, while the needs of conservation practice have had little influence on seed dispersal research. yet seed dispersal interacts decisively with the major drivers of biodiversity change in the 21st century: habitat fragmentation, overharvesting, biological invasions, and climate change. we synthesize current knowledge of the effects these drivers have on seed dispersal to identify research gaps and to show how this information can be used to improve conservation management. the drivers, either individually, or in combination, have changed the quantity, species composition, and spatial pattern of dispersed seeds in the majority of ecosystems worldwide, with inevitable consequences for species survival in a rapidly changing world. the natural history of seed dispersal is now well-understood in a range of landscapes worldwide. only a few generalizations that have emerged are directly applicable to conservation management, however, because they are frequently confounded by site-specific and species-specific variation. potentially synergistic interactions between disturbances are likely to exacerbate the negative impacts, but these are rarely investigated. we recommend that the conservation status of functionally unique dispersers be revised and that the conservation target for key seed dispersers should be a population size that maintains their ecological function, rather than merely the minimum viable population. based on our analysis of conservation needs, seed dispersal research should be carried out at larger spatial scales in heterogenous landscapes, examining the simultaneous impacts of multiple drivers on community-wide seed dispersal networks. (c) 2011 elsevier ltd. all rights reserved.",64,2012,146,"1","1","13",1,0,0,1
"Ricklefs, RE","the unified neutral theory of biodiversity: do the numbers add up?","ecology","Article","hubbell's unified neutral theory is a zero-sum ecological drift model in which population sizes change at random in a process resembling genetic drift, eventually leading to extinction. diversity is maintained within the community by speciation. hubbell's model makes predictions about the distribution of species abundances within communities and the turnover of species from place to place (beta diversity). however, ecological drift cannot be tested adequately against these predictions without independent estimates of speciation rates, population sizes, and dispersal distances. a more practical prediction from ecological drift is that time to extinction of a population of size n is approximately 2n generations. i test this prediction here using data for passerine birds (passeriformes). waiting times to speciation and extinction were estimated from genetic divergence between sister populations and a lineage-through-time plot for endemic south american suboscine passerines. population sizes were estimated from local counts of birds in two large forest plots extrapolated to the area of wet tropical forest in south america and from atlas data on european passerines. waiting times to extinction (ca. 2 ma) are much less than twice the product of average population size (4.0 and 14.4 x 10(6) individuals in south america and europe) and generation length (five and three years) for songbirds, that is, 40 and 86 ma, respectively. thus, drift is too slow to account for turnover in regional avifaunas. presumably, other processes, involving external drivers, such as climate and physiographic change, and internal drivers, such as evolutionary change in antagonistic interactions, predominate. hubbell's model is historical and geographic, and his perspective importantly links local and regional process and pattern. ecological reality can be added to the mix while retaining hubbell's concept of continuity of communities in space and time.",64,2006,87,"6","1424","1431",0,1,0,1
"Vandvik, V; Heegaard, E; Maren, IE; Aarrestad, PA","managing heterogeneity: the importance of grazing and environmental variation on post-fire succession in heathlands","journal of applied ecology","Article","1. semi-natural habitats have been shaped by human disturbance regimes for centuries. spatially and temporally heterogeneous land-use practices, such as cutting, burning, grazing and turf-cutting, have resulted in complex mosaic landscapes that are of high priority for conservation in europe. contemporary conservation subjects these systems to management regimes that are generally less diverse, in terms of disturbances and fine-scale temporal and spatial variability, than traditional land use, but the ecological consequences of these simplifications are unclear. 2. we investigated the interactive effects of fire and grazing on plant species composition and diversity along local environmental (moisture) gradients in coastal heathlands. a replicated series of post-fire successions (n = 12) was initiated in three heathland habitats and the areas subjected to two grazing regimes. floristic and environmental data were recorded in permanent plots over a 5-year period. community data were analysed using multivariate ordination techniques (principal components analysis, partial redundancy analyses, and principal response curves) and generalized linear models. 3. fire induced strong successional trends in the species composition of the heathlands. these trends differed among heathland habitats, and with grazing. strong interactions between fire, habitat and grazing implied that the effect of grazing on the successional dynamics differed among habitats. species diversity decreased in the first year after fire but increased beyond the pre-fire levels during succession. this trend was not affected by local environment or grazing, although there were main effect differences in diversity between environments and grazing regimes. 4. synthesis and applications. our results demonstrate that the two management practices do not have simple additive effects within the semi-natural system studied, as grazing created ecological opportunities for additional sets of species, increased variability among habitats, and added complexity to the post-fire successional dynamics. in order to preserve diversity, conservation management should thus aim to preserve the level of complexity of the traditional management regimes, both in terms of the actual disturbances (e.g. fire and grazing) as well as the spatial scales at which they are applied. further, the considerable change in these effects along the local environmental gradient brings into question the efficiency of general management prescriptions, and indicates that local environmental variability should be taken into account in the conservation of semi-natural habitats.",64,2005,42,"1","139","149",0,0,1,1
"Holdo, RM; Holt, RD; Fryxell, JM","grazers, browsers, and fire influence the extent and spatial pattern of tree cover in the serengeti","ecological applications","Article","vertebrate herbivores and fire are known to be important drivers of vegetation dynamics in african savannas. it is of particular importance to understand how changes in herbivore population density, especially of elephants, and fire frequency will affect the amount of tree cover in savanna ecosystems, given the critical importance of tree cover for biodiversity, ecosystem function, and human welfare. we developed a spatially realistic simulation model of vegetation,fire, and dominant herbivore dynamics, tailored to the serengeti ecosystem of east africa. the model includes key processes such as tree-grass competition, fire, and resource-based density dependence and adaptive movement by herbivores. we used the model to project the ecosystem 100 years into the future from its present state under different fire, browsing (determined by elephant population density), and grazing (with and without wildebeest present) regimes. the model produced the following key results: (1) elephants and fire exert synergistic negative effects on woody cover; when grazers are excluded, the impact of fire and the strength of the elephant-fire interaction increase; (2) at present population densities of 0.15 elephants/km(2), the total amount of woody cover is predicted to remain stable in the absence of fire, but the mature tree population is predicted to decline regardless of the fire regime; without grazers present to mitigate the effects of fire, the size structure of the tree population will become dominated by seedlings and mature trees; (3) spatial heterogeneity in tree cover varies unimodally with elephant population density fire increases heterogeneity in the presence of grazers and decreases it in their absence; (4) the marked rainfall gradient in the serengeti directly affects the pattern of tree cover in the absence of fire; with fire, the woody cover is determined by the grazing patterns of the migratory wildebeest, which are partly rainfall driven. our results show that, in open migratory ecosystems such as the serengeti, grazers can modulate the impact of fire and the strength of the interaction between fire and browsers by altering fuel loads and responding to the distribution of grass across the landscape, and thus exert strong effects on spatial patterns of tree cover.",62,2009,19,"1","95","109",1,0,0,1
