"authors","title","source","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Leathwick, JR; Rogers, GM","modelling relationships between environment and canopy composition in secondary vegetation in central north island, new zealand","NEW ZEALAND JOURNAL OF ECOLOGY","Article","relationships between composition of secondary vegetation and environment were studied in central north island, new zealand. a classification procedure was used to identify broad compositional groups which included forest, broadleaved scrub, shrub-fernland, sclerophyllous scrub and shrubland, and tussock-shrubland. generalised additive models (gams) were used to examine relationships between species' distributions and mean annual temperature and rainfall, stand age, distance from intact forest, slope, topography, and drainage. there were marked differences in the environmental relationships of individual species. we conclude that temperature and rainfall have a dominant role in determining succession after disturbance at a regional scale, but distance from intact forest, topography, slope and solar radiation, become important at local scales. variation unaccounted for by these environmental factors is most likely linked to historical factors such as variation in disturbance and/or grazing and browsing regimes. intervention by managers will probably be required in the future if the current diversity of secondary vegetation in central north island is to be maintained.",13,1996,20,"2","147","161",0,0,1,1
"Yergeau, E; Vujanovic, V; St-Arnaud, M","changes in communities of fusarium and arbuscular mycorrhizal fungi as related to different asparagus cultural factors","MICROBIAL ECOLOGY","Article","asparagus (asparagus officinalis) is a high-value perennial vegetable crop that has shown a marked decline in productivity after many years of continuous harvesting. this decline is caused by an increase in both abiotic (autotoxicity, harvesting pressure) and biotic stresses [fungal infections, mainly fusarium crown and root rot (fcrr)]. to gain insight into disease development and possible mitigation strategies, we studied the effects of harvesting, time in the growing season, and field age on fcrr development, fusarium species composition, and arbuscular mycorrhizal fungi (amf) communities in both a controlled field experiment and an ecological survey of commercial fields. in one experiment, a 3-year-old asparagus field was subdivided into plots that were harvested or not and sampled throughout the growing season to assess short-term dominant fusarium species shifts. in addition, diseased and healthy asparagus plants sampled from six commercial fields in the same geographical region were used to assess fusarium and amf communities in relation to different parameters. fusarium and amf communities were described by using a polymerase chain reaction (pcr)-denaturing gradient gel electrophoresis (dgge) approach, and results were analyzed by mainly correspondence analysis and canonical correspondence analysis. results showed that dominant fusarium taxa assemblages changed throughout the growing season. harvested plots had significantly more fcrr symptomatic plants at the end of the growing season, but this effect was not related with any trend in fusarium community structure. sampling site and plant age significantly influenced amf community structure, whereas only sampling site consistently influenced the fusarium community. diseased and healthy plants harbored similar fusarium and amf communities. shifts in fusarium community might not be responsible for different disease incidence because they are ubiquitous regardless of plant health status or harvesting regime. the different incidence noted might rather be related to plant physiology, antagonist microbial communities, or soil parameters.",13,2006,52,"1","104","113",0,1,0,1
"Rendueles, O; Beloin, C; Latour-Lambert, P; Ghigo, JM","a new biofilm-associated colicin with increased efficiency against biofilm bacteria","ISME JOURNAL","Article","formation of bacterial biofilm communities leads to profound physiological modifications and increased physical and metabolic exchanges between bacteria. it was previously shown that bioactive molecules produced within the biofilm environment contribute to bacterial interactions. here we describe new pore-forming colicin r, specifically produced in biofilms formed by the natural isolate escherichia coli roar029 but that cannot be detected under planktonic culture conditions. we demonstrate that an increased sos stress response within mature biofilms induces sos-dependent colicin r expression. we provide evidence that colicin r displays increased activity against e. coli strains that have a reduced lipopolysaccharide length, such as the pathogenic enteroaggregative e. coli lf82 clinical isolate, therefore pointing to lipopolysaccharide size as an important determinant for resistance to colicins. we show that colicin r toxicity toward e. coli lf82 is increased under biofilm conditions compared with planktonic susceptibility and that release of colicin r confers a strong competitive advantage in mixed biofilms by rapidly outcompeting sensitive neighboring bacteria. this work identifies the first biofilm-associated colicin that preferentially targets biofilm bacteria. furthermore, it indicates that the study of antagonistic molecules produced in biofilm and multispecies contexts could reveal unsuspected, ecologically relevant bacterial interactions influencing population dynamics in natural environments.",1,2014,8,"6","1275","1288",0,1,0,1
"Oneal, E; Connallon, T; Knowles, LL","conflict between direct and indirect benefits of female choice in desert drosophila","BIOLOGY LETTERS","Article","identifying the factors that contribute to the adaptive significance of mating preferences is one major goal of evolutionary research and is largely unresolved. both direct and indirect benefits can contribute to mate choice evolution. failure to consider the interaction between individual consequences of mate choice may obscure the opposing effects of individual costs and benefits. we investigate direct and indirect fitness effects of female choice in a desert fly (drosophila mojavensis), a species where mating confers resistance to desiccation stress. females prefer males that provide a direct benefit: greater resistance to desiccation stress. mating preferences also appear to have indirect consequences: daughters of preferred males have lower reproductive success than daughters of unpreferred males, although additional experimentation will be needed to determine if the indirect consequences of female preferences actually arise from 'sexually antagonistic' variation. nevertheless, the results are intriguing and are consistent with the hypothesis that an interaction between direct and indirect benefits maintains sexually antagonistic variation in these desert flies: increased desiccation resistance conferred by mating might offset the cost of producing low-fecundity daughters.",13,2007,3,"1","29","32",0,1,0,1
"Kangas, K; Luoto, M; Ihantola, A; Tomppo, E; Siikamaki, P","recreation-induced changes in boreal bird communities in protected areas","ECOLOGICAL APPLICATIONS","Article","the impacts of human-induced disturbance on birds have been studied in growing extent, but there are relatively few studies about the effects of recreation on forest bird communities in protected areas. in this paper, the relative importance of recreation as well as environmental variables on bird communities in oulanka national park, in northeastern finland, was investigated using general additive models (gam). bird data collected using the line transect method along hiking trails and in undisturbed control areas were related to number of visits, area of tourism infrastructure, and habitat variables. we further examined the impact of spatial autocorrelation by calculating an autocovariate term for gams. our results indicate that number of visits affects the occurrence and composition of bird communities, but it had no impact on total species richness. open-cup nesters breeding on the ground showed strongest negative response to visitor pressure, whereas the open-cup nesters nesting in trees and shrubs were more tolerant. for cavity-nesting species, recreation had no significant impact. the contribution of the number of visits was generally low also in models in which it was selected, and the occurrence of birds was mainly determined by habitat characteristics of the area. however, our results show that the recreation-induced disturbance with relatively low visitor pressure can have negative impacts on some bird species and groups of species and should be considered in management of protected areas with recreational activities.",13,2010,20,"6","1775","1786",0,0,1,1
"Trebilco, R; Halpern, BS; Flemming, JM; Field, C; Blanchard, W; Worm, B","mapping species richness and human impact drivers to inform global pelagic conservation prioritisation","BIOLOGICAL CONSERVATION","Article","given the widely recognized need to better protect the oceans but limited resources to do so, methods for prioritizing potential protected area sites are important. this is particularly true for the open oceans, where few protected areas currently exist and data availability is limited. here, we examine the relationship between the distributions of tuna and billfish species richness (an indicator of pelagic biodiversity), the human impact drivers of fishing pressure (quantified as cumulative removals) and sea surface temperature increase (quantified as the increase in large positive anomalies) in tropical to temperate oceans at the scale of a 5 degrees x 5 degrees grid. we investigate relationships using generalised additive models and regression tree analysis, and identify the top 50 ""hotspot"" cells for species richness and each of the two impact drivers. we find that both impact drivers significantly overlap with high species richness, but relationships are complex, non-linear and ocean-basin specific. higher fishing pressure is associated with higher species richness in the indian and pacific oceans, and this overlap is particularly prominent in the central pacific, and in the indian ocean around sri lanka. in the pacific and atlantic oceans, species richness is generally higher in areas that have seen lower levels of change in sea surface temperature and only one cell, near easter island, is a hotspot for species richness and sea surface temperature increase. while species richness and impact drivers overlap in some areas, there are many areas with high species richness and limited apparent impact. this suggests that area-based conservation strategies that aim to protect areas of high pelagic biodiversity may be achievable with limited displacement of fishing effort. (c) 2011 elsevier ltd. all rights reserved.",13,2011,144,"5","1758","1766",0,0,1,1
"Harder, T; Campbell, AH; Egan, S; Steinberg, PD","chemical mediation of ternary interactions between marine holobionts and their environment as exemplified by the red alga delisea pulchra","JOURNAL OF CHEMICAL ECOLOGY","Article","the need for animals and plants to control microbial colonization is important in the marine environment with its high densities of microscopic propagules and seawater that provides an ideal medium for their dispersal. in contrast to the traditional emphasis on antagonistic interactions of marine organisms with microbes, emerging studies lend support to the notion that health and performance of many marine organisms are functionally regulated and assisted by associated microbes, an ecological concept defined as a holobiont. while antimicrobial activities of marine secondary metabolites have been studied in great depth , we are beginning to understand how some of these compounds function in an ecological context to maintain the performance of marine holobionts. the present article reviews two decades of our research on the red seaweed by addressing: the defense chemistry of this seaweed; chemically-mediated interactions between the seaweed and its natural enemies; and the negative influence of elevated seawater temperature on these interactions. our understanding of these defense compounds and the functional roles they play for extends from molecular interactions with bacterial cell signaling molecules, to ecosystem-scale consequences of chemically-controlled disease and herbivory. produces halogenated furanones that antagonize the same receptor as acylated homoserine lactones (ahl)-a group of widespread intercellular communication signals among bacteria. halogenated furanones compete with and inhibit bacterial cell-to-cell communication, and thus interfere with important bacterial communication-regulated processes, such as biofilm formation. in a predictable pattern that occurs at the ecological level of entire populations, environmental stress interferes with the production of halogenated furanones, causing downstream processes that ultimately result in disease of the algal holobiont.",13,2012,38,"5","442","450",0,1,0,1
"Prato, FS; Kavaliers, M; Thomas, AW; Ossenkopp, KP","modulatory actions of light on the behavioural responses to magnetic fields by land snails probably occur at the magnetic field detection stage","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article","the attenuation of opioid peptide-mediated antinociception or analgaesia is a well-established effect of extremely low frequency (elf) magnetic fields. results of prior studies indicated a modulatory role for light such that when the elf exposures were carried out in the absence of light, the inhibitory effect on analgaesia was reduced. here, we investigated whether this modulatory effect of light occurs at either the magnetic field detection stage or is associated with a post-detection mechanism. we compared the effects of the presence and absence of light on the attenuation of opioid-induced analgaesia in the land snail, cepaea nemoralis, by (i) an elf magnetic field (15 min, 60 hz, 141 mu t peak), and (ii) the prototypic opiate antagonist, naloxone. determinations were performed during the subjective 'day' and 'night' in the presence (1.9 w m(-2) and 1.0 mw m(-2), respectively) and absence of light (less than 10(-6) w m(-2)). the inhibitory effects of the elf magnetic fields and naloxone on opioid-induced analgaesia were similar in the presence of light; whereas in the absence of light the inhibitory effects of the elf magnetic fields as a percentage of sham were markedly reduced, while those of naloxone were unaffected. this indicates that the modulatory effects of light on the actions of the elf magnetic fields probably affect the detection mechanism prior to its coupling to the opioid system.",14,1998,265,"1394","367","373",0,1,0,1
"Jenkins, BR; Vitousek, MN; Hubbard, JK; Safran, RJ","an experimental analysis of the heritability of variation in glucocorticoid concentrations in a wild avian population","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article","glucocorticoid hormones (cort) are predicted to promote adaptation to variable environments, yet little is known about the potential for cort secretion patterns to respond to selection in free-living populations. we assessed the heritable variation underlying differences in hormonal phenotypes using a cross-foster experimental design with nestling north american barn swallows (hirundo rustica erythrogaster). using a bivariate animal model, we partitioned variance in baseline and stress-induced cort concentrations into their additive genetic and rearing environment components and estimated their genetic correlation. both baseline and stress-induced cort were heritable with heritability of 0.152 and 0.343, respectively. we found that the variation in baseline cort was best explained by rearing environment, whereas the variation in stress-induced cort was contributed to by a combination of genetic and environmental factors. further, we did not detect a genetic correlation between these two hormonal traits. although rearing environment appears to play an important role in the secretion of both types of cort, our results suggest that stress-induced cort levels are underlain by greater additive genetic variance compared with baseline cort levels. accordingly, we infer that the glucocorticoid response to stress has a greater potential for evolutionary change in response to selection compared with baseline glucocorticoid secretion patterns.",4,2014,281,"1790","","",0,0,1,1
"Herzberger, AJ; Meiners, SJ; Towey, JB; Butts, PA; Armstrong, DL","plant-microbe interactions change along a tallgrass prairie restoration chronosequence","RESTORATION ECOLOGY","Article","soil microbial communities are critical in determining the performance and density of species in plant communities. however, their role in regulating the success of restorations is much less clear. this study assessed the ability of soil microbial communities to regulate the growth and performance of two potentially dominant grasses and two common forbs in tallgrass prairie restorations. specifically, we examined the effects of soil microbial communities along a restoration chronosequence from agricultural fields to remnant prairies using experimentally inoculated soils. the two grass species, andropogon gerardii and sorghastrum nutans, grew best with the agricultural inoculates and experienced a decline in performance in later stages of the chronosequence, indicating that the microbial community shifted from being beneficial to grasses in the early stages to inhibiting grasses in the later stages of restoration. growth of the forb, silphium terebinthinaceum, varied little with inoculation or position along the restoration chronosequence. growth of baptisia leucantha, a legume, appeared limited by nodule formation in agricultural soils, peaked in young restoration soils along with nodule formation, but decreased in older soils as the microbial community became more antagonistic. overall, negative feedbacks tended to be less important early in restoration, but appeared important in remnant and older restored prairies. our results provide evidence that it may be advantageous for management practices to take negative soil feedbacks into consideration when trying to recreate the diversity of tallgrass prairies.",0,2015,23,"3","220","227",0,1,0,1
"Zhang, QG; Buckling, A","antagonistic coevolution limits population persistence of a virus in a thermally deteriorating environment","ECOLOGY LETTERS","Letter","p>understanding the conditions under which rapid evolutionary adaptation can prevent population extinction in deteriorating environments (i.e. evolutionary rescue) is a crucial aim in the face of global climate change. despite a rapidly growing body of work in this area, little attention has been paid to the importance of interspecific coevolutionary interactions. antagonistic coevolution commonly observed between hosts and parasites is likely to retard evolutionary rescue because it often reduces population sizes, and results in the evolution of costly host defence and parasite counter-defence. we used experimental populations of a bacterium pseudomonas fluorescens sbw25 and a bacteriophage virus (sbw25 theta 2), to study how host-parasite coevolution impacts viral population persistence in the face of gradually increasing temperature, an environmental stress for the virus but not the bacterium. the virus persisted much longer when it evolved in the presence of an evolutionarily constant host genotype (i.e. in the absence of coevolution) than when the bacterium and virus coevolved. further experiments suggest that both a reduction in population size and costly infectivity strategies contributed to viral extinction as a result of coevolution. the results highlight the importance of interspecific evolutionary interactions for the evolutionary responses of populations to global climate change.",14,2011,14,"3","282","288",0,1,0,1
"Ernoult, A; Alard, D","species richness of hedgerow habitats in changing agricultural landscapes: are alpha and gamma diversity shaped by the same factors?","LANDSCAPE ECOLOGY","Article","understanding the determinants of hedgerow plant diversity in agricultural landscapes remains a difficult task, because the potential drivers affect the complete range of biodiversity components (alpha to gamma diversity). we surveyed herbaceous plant communities (of a height < 1.5 m) in 84 hedgerows in the seine river floodplain of france. two types of potential drivers for species richness, accounting for landscape mosaic and hedgerow network, were recorded at both hedgerow and site scale. the distribution of species richness through the components of alpha hedgerow diversity (i.e. the average diversity within a habitat) and gamma hedgerow diversity (i.e. the total diversity across habitats) were assessed using additive partitioning methods, while the relationship between species diversity and its potential landscape drivers at both scales was modeled using generalized additive models. our results indicated that gamma hedgerow diversity is explained by the heterogeneity of the landscape structure, which is correlated with the mosaic of agricultural land use. at this scale, intrinsic properties of the configuration of the hedgerow networks have a weak influence on species richness. alpha hedgerow diversity is also explained by landscape variables, accounting for both the configuration of agricultural mosaics and hedgerow networks, but to a lesser extent. time lags for species responses are shown at both scales, and for the two types of drivers. extinction or colonization debt may be indicated at both scales, while the remnant effects of former practices may also be responsible for such patterns at a local scale. we suggest that hedgerow management should take the specific parameters of both scales into account. at a local scale, management actions should aim to decrease the influence of adjacent land use when the impact is negative, through the implementation of extended buffer zones, while at the landscape and farm scales, agri-environmental schemes should be dedicated to the conservation of specific agricultural land uses.",14,2011,26,"5","683","696",0,0,1,1
"Farrell, C; Ang, XQ; Rayner, JP","water-retention additives increase plant available water in green roof substrates","ECOLOGICAL ENGINEERING","Article","green roofs in hot and dry climates are frequently exposed to drought due to shallow depth and low water holding capacity (whc) of substrates (growing media). water-retention additives have the potential to increase substrate water availability leading to greater plant growth and survival, expanding the range of plant species suitable for green roofs. we determined whether two different water-retention additives (silicate granules and hydrogel) increased substrate whc, plant available water (paw), days until permanent wilting and growth of winter wheat (triticum aestivum l) and white lupin (lupinus albus l) grown in green roof substrates. two substrates were compared; one based on scoria, the other based on crushed terracotta roof-tiles. without additives both substrates had similar whc (40-43%) but paw was lower in scoria than in roof-tile due to greater air-filled porosity (afp) and lower bulk density in scoria. silicates increased whc in both scoria and roof-tile substrates, but hydrogel only improved scoria whc. the effects of additives on paw differed between plant species, with additives increasing paw in both substrates for wheat but only in roof-tile for lupins. paw was not significantly different between hydrogel and silicates. although hydrogels increased substrate whc and paw there was no increase in time until wilting in either substrate. silicates on the other hand, increased time until wilting and total and root biomass for wheat growing in scoria and for lupins in both substrates. while there was a species effect on the efficiency of water-retention additives which requires further study, the addition of silicates is more likely to enhance species capacity to tolerate periods of low water availability on green roofs. (c) 2013 elsevier b.v. all rights reserved.",14,2013,52,"","112","118",0,0,1,1
"Biere, A; Tack, AJM","evolutionary adaptation in three-way interactions between plants, microbes and arthropods","FUNCTIONAL ECOLOGY","Review","evolutionary adaptations in interactions between plants, microbes and arthropods are generally studied in interactions that involve only two of these groups, that is, plants and microbes, plants and arthropods or arthropods and microbes. we review the accumulating evidence from a wide variety of systems, including plant- and arthropod-associated microbes, and symbionts as well as antagonists, that selection and adaptation in seemingly two-way interactions between plants and microbes, plants and arthropods and arthropods and microbes are often driven by the biotic context of a third partner. we extend the concept of local adaptation from two-way interactions to scenarios for three-way interactions. we show that consumers can locally adapt to specific host phenotypes that are induced by a third species with which they do not directly interact. this emphasizes that indirect interactions have not only ecological but also important evolutionary consequences, and stresses the need to conduct studies of local adaptation in the proper ecological context of the species involved. overall, our review underlines the importance of three-way interactions in the evolution of plantmicrobe, plantarthropod and arthropodmicrobe interactions, and we outline some promising directions for future research.",14,2013,27,"3","646","660",0,1,0,1
"Zerger, A; Gibbons, P; Seddon, J; Briggs, S; Freudenberger, D","a method for predicting native vegetation condition at regional scales","LANDSCAPE AND URBAN PLANNING","Article","regional-scale mapping of vegetation characteristics such as extent, configuration, composition and condition are critical for managing native vegetation. the extent and configuration of native vegetation is typically mapped using remote sensing, and plant species and communities are typically mapped using statistical models built with explanatory variables derived from gis layers. such research has paid limited attention to the 'condition' of native vegetation and rarely are explanatory variables derived from satellite remote sensing and gis layers used together to spatially predict vegetation characteristics. we calculated two independent metrics of vegetation condition using field data measured at each of 239 0.1 ha plots. these metrics of vegetation condition were used to develop two continuous maps of vegetation condition across an area of 260,000 ha using statistical models (generalised additive models, gams) built with explanatory variables derived from a range of sources including digital elevation models (dems), metrics of landscape connective, land use mapping and satellite remote sensing. both models included significant explanatory variables that were derived from satellite remote sensing and gis layers. using a cross-validation technique based on bootstrapping, correlations between observed plot data and predicted data for the two measures of vegetation condition were only reasonable (0.47-0.56). improved stratified sampling which captures disturbance gradients is a priority for improving models of this type. crown copyright (c) 2008 published by elsevier b.v. all rights reserved.",15,2009,91,"2","65","77",0,0,1,1
"Siesa, ME; Manenti, R; Padoa-Schioppa, E; De Bernardi, F; Ficetola, GF","spatial autocorrelation and the analysis of invasion processes from distribution data: a study with the crayfish procambarus clarkii","BIOLOGICAL INVASIONS","Article","complex spatial dynamics are frequent in invasive species; analyzing distribution patterns can help to understand the mechanisms driving invasions. we used different spatial regression techniques to evaluate processes determining the invasion of the red swamp crayfish procambarus clarkii. we evaluated four a priori hypotheses on processes that may determine crayfish invasion: landscape alteration, connectivity, wetland suitability for abiotic and biotic features. we assessed the distribution of p. clarkii in 119 waterbodies in a recently invaded area. we used spatially explicit statistical techniques (spatial eigen-vector mapping, generalized additive models, bayesian intrinsic conditional autoregressive models) within an information-theoretic framework to assess the support of hypotheses; we also analyzed the pattern of spatial autocorrelation of data, model residuals, and eigenvectors. we found strong agreement between the results of spatial eigenvector mapping and bayesian autoregressive models. procambarus clarkii was significantly associated with the largest, permanent wetlands. additive models suggested also association with human-dominated landscapes, but tended to overfit data. the results indicate that abiotic wetlands features and landscape alteration are major drivers of the species' distribution. species distribution data, residuals of ordinary least squares regression, and spatial eigenvectors all showed positive and significant spatial autocorrelation at distances up to 2,500 m; this may be caused by the dispersal ability of the species. our analyses help to understand the processes determining the invasion and to identify the areas most at risk where screening and early management efforts can be focused. the comparison of multiple spatial techniques allows a robust assessment of factors determining complex distribution patterns.",15,2011,13,"9","2147","2160",0,0,1,1
"Kenkel, CD; Traylor, MR; Wiedenmann, J; Salih, A; Matz, MV","fluorescence of coral larvae predicts their settlement response to crustose coralline algae and reflects stress","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article","multi-coloured homologues of the green fluorescent protein generate some of the most striking visual phenomena in the ocean. despite their natural prominence in reef-building corals and widespread use in biotechnology, their biological role remains obscure. here, we experimented with larvae of acropora millepora to determine what can be learned about a coral larva or recruit from its fluorescent colour. we performed 12 crosses between seven a. millepora colonies representing differing fluorescence phenotypes, the larvae of which were exposed to a natural settlement cue (crustose coralline algae) and heat-light stress. parental effects explained 18 per cent of variation in colour and 47 per cent of variation in settlement. the colour of the larval family emerged as a predictor of the settlement success: redder families were significantly less responsive to the provided settlement cue (p 0.006). this relationship was owing to a correlation between parental effects on settlement and colour (r 2 0.587, p 0.045). we also observed pronounced (16%) decline in settlement rate, as well as subtle (2%), but a statistically significant decrease in red fluorescence, as a consequence of heat-light stress exposure. variation in settlement propensity in a. millepora is largely owing to additive genetic effects, and is thought to reflect variation in dispersal potential. our results suggest an optical signature to discriminate between long-and short-range dispersing genotypes, as well as to evaluate stress. further research in this direction may lead to the development of field applications to trace changes in coral life history and physiology caused by global warming.",8,2011,278,"1718","2691","2697",0,0,1,1
"Wilson, SK; Graham, NAJ; Fisher, R; Robinson, J; Nash, K; Chong-Seng, K; Polunin, NVC; Aumeeruddy, R; Quatre, R","effect of macroalgal expansion and marine protected areas on coral recovery following a climatic disturbance","CONSERVATION BIOLOGY","Article","disturbance plays an important role in structuring marine ecosystems, and there is a need to understand how conservation practices, such as the designation of marine protected areas (mpas), facilitate postdisturbance recovery. we evaluated the association of mpas, herbivorous fish biomass, substrate type, postdisturbance coral cover, and change in macroalgal cover with coral recovery on the fringing reefs of the inner seychelle islands, where coral mortality after a 1998 bleaching event was extensive. we visually estimated benthic cover and fish biomass at 9 sites in mpas where fishing is banned and at 12 sites where fishing is permitted in 1994, 2005, 2008, and 2011. we used analysis of variance to examine spatial and temporal variations in coral cover and generalized additive models to identify relations between coral recovery and the aforementioned factors that may promote recovery. coral recovery occurred on all substrate types, but it was highly variable among sites and times. between 2005 and 2011 the increase in coral cover averaged 1%/year across 21 sites, and the maximum increase was 4%/year. however, mean coral cover across the study area (14%) remained at half of 1994 levels (28%). sites within mpas had faster rates of coral recovery than sites in fished areas only where cover of macroalgae was low and had not increased over time. in mpas where macroalgae cover expanded since 1998 there was no recovery. where coral was recovering on granite reefs there was a shift in relative prevalence of colony life-form from branching to encrusting species. this simplification of reef structure may affect associated reef fauna even if predisturbance levels of coral cover are attained.",15,2012,26,"6","995","1004",0,0,1,1
"Saona, NM; Albrectsen, BR; Ericson, L; Bazely, DR","environmental stresses mediate endophyte-grass interactions in a boreal archipelago","JOURNAL OF ECOLOGY","Article","1. both evolutionary theory and empirical evidence from agricultural research support the view that asexual, vertically transmitted fungal endophytes are typically plant mutualists that develop high infection frequencies within host grass populations. in contrast, endophyte-grass interactions in natural ecosystems are more variable, spanning the range from mutualism to antagonism and comparatively little is known about their range of response to environmental stress. 2. we examined patterns in endophyte prevalence and endophyte-grass interactions across nutrient and grazing (from greylag and canada geese) gradients in 15 sites with different soil moisture levels in 13 island populations of the widespread grass festuca rubra in a boreal archipelago in sweden. 3. in the field, endophyte prevalence levels were generally low (range = 10-53%) compared with those reported from agricultural systems. under mesic-moist conditions endophyte prevalence was constantly low (mean prevalence = 15%) and was not affected by grazing pressure or nutrient availability. in contrast, under conditions of drought, endophyte prevalence increased from 10% to 53% with increasing nutrient availability and increasing grazing pressure. 4. in the field, we measured the production of flowering culms, as a proxy for host fitness, to determine how endophyte-infected plants differed from uninfected plants. at dry sites, endophyte infection did not affect flowering culm production. in contrast, at mesic-moist sites production of flowering culms in endophyte-infected plants increased with the covarying effects of increasing nutrient availability and grazing pressure, indicating that the interaction switched from antagonistic to mutualistic. 5. a concurrent glasshouse experiment showed that in most situations, the host appears to incur some costs for harbouring endophytes. uninfected grasses generally outperformed infected grasses (antagonistic interaction), while infected grasses outperformed uninfected grasses (mutualistic interaction) only in dry, nutrient-rich conditions. nutrient and water addition affected tiller production, leaf number and leaf length differently, suggesting that tillers responded with different strategies. this emphasizes that several response variables are needed to evaluate the interaction. 6. synthesis. this study found complex patterns in endophyte prevalence that were not always correlated with culm production. these contrasting patterns suggest that the direction and strength of selection on infected plants is highly variable and depends upon a suite of interacting environmental variables that may fluctuate in the intensity of their impact, during the course of the host life cycle.",16,2010,98,"2","470","479",0,1,0,1
"Walton, JC; Martinez-Gonzalez, F; Worthington, R","desert vegetation and timing of solar radiation","JOURNAL OF ARID ENVIRONMENTS","Article","timing and amount of solar radiation were examined as factors influencing the distribution of seven perennial plants on a small mountain located in the chihuahuan desert. average direct beam solar radiation fluxes at differing times throughout the day and year were estimated with computer calculations. principal components analysis was used to reduce the number of solar radiation parameters and include the maximum available information with a manageable number of variables. the remaining solar radiation parameters were compared to plant distributions using redundancy analysis and generalized additive models. unimodal, bimodal, and monotonic responses were all found depending upon the species and solar radiation parameter. niche separation at this location depends upon the timing as well as the amount of solar radiation. (c) 2004 elsevier ltd. all rights reserved.",5,2005,60,"4","697","707",0,0,1,1
"Nimmo, DG; Kelly, LT; Spence-Bailey, LM; Watson, SJ; Haslem, A; White, JG; Clarke, MF; Bennett, AF","predicting the century-long post-fire responses of reptiles","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Article","aim we examined the century-long post-fire responses of reptiles to (1) determine the time-scales over which fauna fire relationships occur, (2) assess the capacity of a conceptual model to predict faunal response to fire, and (3) investigate the degree to which models of fauna fire relationships can predict species occurrence and are transferable across space. location a 104,000 km2 area in the semi-arid murray mallee region of south-eastern australia. methods we surveyed reptiles at 280 sites across a century-long post-fire chronosequence. we developed generalized additive mixed models (gamms) of the relationship between time since fire and the occurrence of 17 species in two subregions, and compared modelled responses with predictions derived from the conceptual model. the predictive capacity of gamms was then assessed (1) within the subregion the model was developed and (2) when transferred into a novel subregion. results eleven species displayed a significant relationship with time-since-fire, with changes in species probability of occurrence continuing up to 100 years post-fire. predictions of the timing of species post-fire peak in occurrence were accurate for 9 of 13 species models for which a significant fire response was detected, but little success was achieved in predicting the shape of a species' response. gamms predicted species occurrence more accurately when applied within the subregion in which they were developed than when transferred into a novel subregion, primarily due to some species responding to fire more strongly in one part of their geographic range. main conclusions fire influences the occurrence of reptiles in semi-arid ecosystems over century-long time frames. habitat-use conceptual models have value in predicting the peak occurrence of species following fire, particularly for species with distributions strongly shaped by fire. species relationships with fire can differ across their geographic range, probably associated with variation in climatic influences on post-fire succession and the consequent provision of habitat resources.",16,2012,21,"11","1062","1073",0,0,1,1
"Tweiten, MA; Hotchkiss, SC; Vitousek, PM; Kellner, JR; Chadwick, OA; Asner, GP","resilience against exotic species invasion in a tropical montane forest","JOURNAL OF VEGETATION SCIENCE","Article","question how do canopy disturbance and soil properties structure vascular plant community species composition and resilience to encroachment by exotic species in a tropical montane wet forest? location hawai'i experimental tropical forest (hetf), a tropical montane wet forest, on mauna kea, hawai'i island, hawai'i, usa. methods previous studies employing airborne lidar were used to define three zones across an elevation gradient from 900 to 1500m. within each zone, a ~1000-m block transect was selected to cross two different volcanic substrates: one derived from surface lava and one derived from thick ash deposits. non-metric multidimensional scaling (nms) scores of vegetation data were related to independently-derived environmental nms scores and spatial location with generalized additive models (gam). results vascular plant species composition in all elevation zones consists of three nms axes, which are best modelled by one of three possible environmental nms axes or by location. the first nms axis of species composition in the lowest elevation zone (40% variance explained (ve)) is a function of location on volcanic substrates (61% deviance explained (de)). the second lowest elevation axis (27% ve) is a function of unexplained spatial heterogeneity (31% de). the third lowest elevation nms axis (24% ve) is a function of the spatial mosaic of canopy disturbance (16% de). in the middle elevation zone, species composition most strongly relates to the interaction between volcanic substrate and the condition of the soil surface for all three nms axes (41%, 27%, 24% ve; 70%, 16%, 24% de). the primary axis of species composition in the highest elevation zone (41% ve) corresponds with substrate and soil condition (55% de) but the second and third axes of species composition (27% and 25% ve) relate to canopy dieback disturbance (36%, 14% de). counts of exotic species and 0-2m height class native tree species respond to the type of volcanic substrate and soil surface condition in all three elevation zones. lava-derived substrates have a higher incidence of exotic species and less native tree regeneration; whereas ash-derived substrates have higher numbers of native tree species regenerating and many fewer exotic species. discussion the tropical montane forests on mauna kea reflect a native-dominated plant community response to disturbance on both lava- and ash-derived volcanic substrates, and a higher propensity for exotic species to occur on the lava-derived substrate. native plant communities on ash-derived soils may have higher resilience to exotic invasion than communities on lava-derived substrates. our results indicate resource managers should explicitly account for variation in soils and substrate type when prioritizing, implementing and monitoring management interventions to foster native plant assemblages and control the spread of exotic and invasive species.",1,2014,25,"3","734","749",0,0,1,1
