authors,title,source,type,keywords,abstract,times_cited,PY,VL,IS,BP,EP,DI,synergy,antag,additive
"Simoes, P; Santos, J; Fragata, I; Mueller, LD; Rose, MR; Matos, M",How repeatable is adaptive evolution? The role of geographical origin and founder effects in laboratory adaptation,EVOLUTION,Article,adaptation; Drosophila subobscura; evolutionary contingency; founder effects; genetic background; life-history traits; repeatability,"The importance of contingency versus predictability in evolution has been a long-standing issue, particularly the interaction between genetic background, founder effects, and selection. Here we address experimentally the effects of genetic background and founder events on the repeatability of laboratory adaptation in Drosophila subobscura populations for several functional traits. We found disparate starting points for adaptation among laboratory populations derived from independently sampled wild populations for all traits. With respect to the subsequent evolutionary rate during laboratory adaptation, starvation resistance varied considerably among foundations such that the outcome of laboratory evolution is rather unpredictable for this particular trait, even in direction. In contrast, the laboratory evolution of traits closely related to fitness was less contingent on the circumstances of foundation. These findings suggest that the initial laboratory evolution of weakly selected characters may be unpredictable, even when the key adaptations under evolutionary domestication are predictable with respect to their trajectories.",41,2008,62,8,1817,1829,10.1111/j.1558-5646.2008.00423.x,,,
"Forde, SE; Thompson, JN; Holt, RD; Bohannan, BJM",Coevolution drives temporal changes in fitness and diversity across environments in a bacteria-bacteriophage interaction,EVOLUTION,Article,bacteria; bacteriophage; competition; fitness costs; genotype-by-environment interactions; host-parasite; productivity; resistance,"Coevolutionary interactions are thought to play a crucial role in diversification of hosts and parasitoids. Furthermore, resource availability has been shown to be a fundamental driver of species diversity. Yet, we still do not have a clear understanding of how resource availability mediates the diversity generated by coevolution between hosts and parasitoids over time. We used experiments with bacteria and bacteriophage to test how resources affect variation in the competitive ability of resistant hosts and temporal patterns of diversity in the host and parasitoid as a result of antagonistic coevolution. Bacteria and bacteriophage coevolved for over 150 bacterial generations under high and low-resource conditions. We measured relative competitive ability of the resistant hosts and phenotypic diversity of hosts and parasitoids after the initial invasion of resistant mutants and again at the end of the experiment. Variation in relative competitive ability of the hosts was both time- and environment-dependent. The diversity of resistant hosts, and the abundance of host-range mutants attacking these phenotypes, differed among environments and changed over time, but the direction of these changes differed between the host and parasitoid. Our results demonstrate that patterns of fitness and diversity resulting from coevolutionary interactions can be highly dynamic.",33,2008,62,8,1830,1839,10.1111/j.1558-5646.2008.00411.x,,,
"Leathwick, JR; Elith, J; Chadderton, WL; Rowe, D; Hastie, T","Dispersal, disturbance and the contrasting biogeographies of New Zealand's diadromous and non-diadromous fish species",JOURNAL OF BIOGEOGRAPHY,Article,boosted regression tree; diadromy; dispersal; disturbance; fish; freshwater; statistical model; species ranges,"Aim To examine the relationship between diadromy and dispersal ability in New Zealand's freshwater fish fauna, and how this affects the current environmental and geographic distributions of both diadromous and non-diadromous species. Location New Zealand. Methods Capture data for 15 diadromous and 15 non-diadromous fish species from 13,369 sites throughout New Zealand were analysed to establish features of their geographic ranges. Statistical models were used to determine the main environmental correlates of species' distributions, and to establish the environmental conditions preferred by each species. Environmental predictors, chosen for their functional relevance, were derived from an extensive GIS database describing New Zealand's river and stream network. Results in terms of geography, most diadromous species occur in a scattered fashion throughout extensive geographic ranges, and occupy large numbers of catchments of widely varying size. By contrast, most non-diadromous species show relatively high levels of occupancy of smaller geographic ranges, and most are restricted to a few large catchments, particularly in the eastern South Island. In terms of environment, there is marked separation of diadromous from non-diadromous species, with diadromous species generally caught most frequently in low-gradient coastal rivers and streams with warm, maritime climates. With a few notable exceptions, most diadromous species have lower occurrence in river segments that are located above obstacles to upstream migration. Non-diadromous species are usually caught in inland rivers and streams with cool, strongly seasonal climates, typified by a low frequency of high-intensity rainfall events. Main conclusions We interpret the contrasting biogeographies of New Zealand's diadromous and non-diadromous species as reflecting interaction between their marked differences in dispersal ability and a landscape that is subject to recurrent, often large-scale, natural disturbance. While both groups are likely to be equally susceptible to local, disturbance-driven extinction, the much greater dispersal ability of diadromous species has allowed them to persist over wide geographic ranges. By contrast, the distributions of most non-diadromous species are concentrated in a few large catchments, mostly in regions where less intense natural disturbance regimes are likely to have favoured their survival.",55,2008,35,8,1481,1497,10.1111/j.1365-2699.2008.01887.x,,,
"Gillson, L; Ekblom, A; Willis, KJ; Froyd, C","Holocene palaeo-invasions: the link between pattern, process and scale in invasion ecology?",LANDSCAPE ECOLOGY,Review,climate change; disturbance; landscape connectivity; multi-factor hypothesis; homogenisation,"Invasion ecology has made rapid progress in recent years through synergies with landscape ecology, niche theory, evolutionary ecology and the ecology of climate change. The palaeo-record of Holocene invasions provides a rich but presently underexploited resource in exploring the pattern and process of invasions through time. In this paper, examples from the palaeo-literature are used to illustrate the spread of species through time and space, also revealing how interactions between invader and invaded communities change over the course of an invasion. The main issues addressed are adaptation and plant migration, ecological and evolutionary interactions through time, disturbance history and the landscape ecology of invasive spread. We consider invasions as a continuous variable, which may be influenced by different environmental or ecological variables at different stages of the invasion process, and we use palaeoecological examples to describe how ecological interactions change over the course of an invasion. Finally, the use of palaeoecological information to inform the management of invasions for biodiversity conservation is discussed.",16,2008,23,7,757,769,10.1007/s10980-008-9243-6,,,
"Brook, BW; Sodhi, NS; Bradshaw, CJA",Synergies among extinction drivers under global change,TRENDS IN ECOLOGY & EVOLUTION,Review,,"If habitat destruction or overexploitation of populations is severe, species loss can occur directly and abruptly. Yet the final descent to extinction is often driven by synergistic processes (amplifying feedbacks) that can be disconnected from the original cause of decline. We review recent observational, experimental and metaanalytic work which together show that owing to interacting and self-reinforcing processes, estimates of extinction risk for most species are more severe than previously recognised. As such, conservation actions which only target single-threat drivers risk being inadequate because of the cascading effects caused by unmanaged synergies. Future work should focus on how climate change will interact with and accelerate ongoing threats to biodiversity, such as habitat degradation, overexploitation and invasive species.",425,2008,23,8,453,460,10.1016/j.tree.2008.03.011,,,
"Friman, VP; Hiltunen, T; Laakso, J; Kaitala, V",Availability of prey resources drives evolution of predator-prey interaction,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,diversity; predator-prey interaction; productivity; Serratia marcescens; Tetrahymena thermophila; trade-off,"Productivity is predicted to drive the ecological and evolutionary dynamics of predator-prey interaction through changes in resource allocation between different traits. Here we report results of an evolutionary experiment where prey bacteria Serratia marcescens was exposed to predatory protozoa Tetrahymena thermophila in low- and high-resource environments for approximately 2400 prey generations. Predation generally increased prey allocation to defence and caused prey selection lines to become more diverse. On average, prey became most defensive in the high-resource environment and suffered from reduced resource use ability more in the low-resource environment. As a result, the evolution of stronger prey defence in the high-resource environment led to a strong decrease in predator-to-prey ratio. Predation increased temporal variability of populations and traits of prey. However, this destabilizing effect was less pronounced in the high-resource environment. Our results demonstrate that prey resource availability can shape the trade-off allocation of prey traits, which in turn affects multiple properties of the evolving predator-prey system.",34,2008,275,1643,1625,1633,10.1098/rspb.2008.0174,,,
"Laurance, WF",Theory meets reality: How habitat fragmentation research has transcended island biogeographic theory,BIOLOGICAL CONSERVATION,Review,area effects; edge effects; extinction; fragmentation; island biogeography theory; matrix effects; species turnover,"Island biogeography theory (IBT) provides a basic conceptual model for understanding habitat fragmentation. Empirical studies of fragmented landscapes often reveal strong effects of fragment area and isolation on species richness, although other predictions of the theory, such as accelerated species turnover in fragments, have been tested less frequently. As predicted by IBT, biota in fragments typically 'relax' over time towards lower species richness. Beyond these broad generalizations, however, the relevance of IBT for understanding fragmented ecosystems is limited. First, IBT provides few predictions about how community composition in fragments should change over time, and which species should be most vulnerable. Second, edge effects can be an important driver of local species extinctions and ecosystem change, but are not considered by IBT. Third, the matrix of modified vegetation surrounding fragments-also ignored by IBT-can strongly influence fragment connectivity, which in turn affects the demography, genetics, and survival of local populations. Fourth, most fragmented landscapes are also altered by other anthropogenic changes, such as hunting, logging, fires, and pollution, which can interact synergistically with habitat fragmentation. Finally, fragmentation often has diverse impacts on ecosystem properties such as canopy-gap dynamics, carbon storage, and the trophic structure of communities that are not considered by IBT. I highlight these phenomena with findings from fragmented ecosystems around the world. Published by Elsevier Ltd.",155,2008,141,7,1731,1744,10.1016/j.biocon.2008.05.011,,,
"Hurteau, M; North, M","Mixed-conifer understory response to climate change, nitrogen, and fire",GLOBAL CHANGE BIOLOGY,Article,biomass; climate change; disturbance; diversity; fire; forest fuels; mixed-conifer; nitrogen deposition; Sierra Nevada,"California's Sierra Nevada mountains are predicted to experience greater variation in annual precipitation according to climate change models, while nitrogen deposition from pollution continues to increase. These changes may significantly affect understory communities and fuels in forests where managers are attempting to restore historic conditions after a century of altered fire regimes. The objective of this research was to experimentally test the effects of increasing and decreasing snowpack depth, increasing nitrogen, and applying prescribed fire to mixed-conifer forest understories at two sites in the central and southern Sierra Nevada. Understory response to treatments significantly differed between sites with herb biomass increasing in shrub-dominated communities when snowpack was reduced. Fire was a more important factor in post-treatment species richness and cover than either snowpack addition or reduction. Nitrogen additions unexpectedly increased herbaceous species richness. These varied findings indicate that modeling future climatic influences on biodiversity may be more difficult than additive prediction based on increasing the ecosystem's two limiting growth resources. Increasing snowpack and nitrogen resulted in increased shrub biomass production at both sites and increased herb production at the southern site. This additional understory biomass has the potential to increase fuel connectivity in patchy Sierran mixed-conifer forests, increasing fire severity and size.",11,2008,14,7,1543,1552,10.1111/j.1365-2486.2008.01584.x,,,
"Davidson, AD; Lightfoot, DC",Burrowing rodents increase landscape heterogeneity in a desert grassland,JOURNAL OF ARID ENVIRONMENTS,Article,banner-tailed kangaroo rats; biodiversity ecosystem engineers; gunnison's prairie dogs; keystone species,"Animals that modify their environment through engineering and herbivory have important impacts on ecosystems, yet the interactive roles of such species have rarely been studied. We studied the comparative and interactive effects of two burrowing herbivorous rodents, Gunnison's prairie dogs (Cynomys gunnisoni) and banner-tailed kangaroo rats (Dipodomys spectabilis), on vegetation where they co-occurred in a Chihuahuan Desert grassland. We found that their effects remained distinct and, thus, non-substitutable, where they co-occurred. The rodents differentially altered plant community structure relative to their different mound types, herbivory, and spatial scales of disturbance. Vegetation structure and plant species assemblages differed between mound and landscape patches occupied by prairie dogs and kangaroo rats. Where both species co-occurred, there was more soil disturbance, organic material from-their fecal pellets, forb cover, and activity by other animals. The combined effect of these rodents increased the landscape heterogeneity and plant species richness by creating a mosaic of different habitat patches on the landscape. Our results demonstrate that these rodents had complementary, additive effects where they co-occurred, and suggest that multiple habitat-modifying species, especially those that play large ecological roles, can have important interactive effects on community structure and biodiversity. (c) 2007 Elsevier Ltd. All rights reserved.",25,2008,72,7,1133,1145,10.1016/j.jaridenv.2007.12.015,,,
"Verhoeven, KJF; Poorter, H; Nevo, E; Biere, A",Habitat-specific natural selection at a flowering-time QTL is a main driver of local adaptation in two wild barley populations,MOLECULAR ECOLOGY,Article,local adaptation; antagonistic pleiotropy; flowering time; QTL analysis; reciprocal transplant; trade-offs,"Understanding the genetic basis of local adaptation requires insight in the fitness effects of individual loci under natural field conditions. While rapid progress is made in the search for genes that control differences between plant populations, it is typically unknown whether the genes under study are in fact key targets of habitat-specific natural selection. Using a quantitative trait loci (QTL) approach, we show that a QTL associated with flowering-time variation between two locally adapted wild barley populations is an important determinant of fitness in one, but not in the other population's native habitat. The QTL mapped to the same position as a habitat-specific QTL for field fitness that affected plant reproductive output in only one of the parental habitats, indicating that the genomic region is under differential selection between the native habitats. Consistent with the QTL results, phenotypic selection of flowering time differed between the two environments, whereas other traits (growth rate and seed weight) were under selection but experienced no habitat-specific differential selection. This implies the flowering-time QTL as a driver of adaptive population divergence. Our results from phenotypic selection and QTL analysis are consistent with local adaptation without genetic trade-offs in performance across environments, i.e. without alleles or traits having opposing fitness effects in contrasting environments.",29,2008,17,14,3416,3424,10.1111/j.1365-294X.2008.03847.x,,,
"Catterall, CP; McKenna, S; Kanowski, J; Piper, SD",Do cyclones and forest fragmentation have synergistic effects? A before-after study of rainforest vegetation structure at multiple sites,AUSTRAL ECOLOGY,Article,damage; hurricane; remnant; tree; vine,"Ecological degradation within areas of remnant forest may be amplified if the effects of fragmentation interact with the effects of other environmental disturbances such as wind storms. We used before-after comparisons to assess the effects of Tropical Cyclone Larry on remnant and continuous rainforest in the Wet Tropics uplands of north-eastern Australia. Vegetation structure was measured 3 years before the cyclone and 6 months afterwards, at eight continuous forest sites and eight remnants (6-37 ha), within 20 km of the cyclone's track. The cyclone caused extensive defoliation, felling and breakage of stems and branches (greatest among the trees > 100 cm diameter which had around 50% stem loss), and increased litter and woody debris. Cyclone effects were strongly influenced by a site's spatial position (P = 0.005, 0.001 in multivariate analyses of overall damage). Maximum damage occurred 10-15 km south of the cyclone track, perhaps because of the additive effects of the west-moving air at the southern eyewall combined with the cyclone's own rapid westward movement. Most fragments were south of the cyclone track, as a consequence of spatially selective deforestation practices, and therefore, showed greatest damage. However, once the effects of spatial position were considered, the independent differences in cyclone effects between fragments and continuous forest were lost (P = 0.23, 0.41 when north-south distance was included as a covariate in analyses). The expected protection afforded by a continuous forest canopy seems to have disappeared in the face of extremely strong cyclonic winds and down-draughts. Nevertheless, an interaction between fragmentation and disturbance may yet occur, during the period of post-cyclone recovery, owing to the effects of landscape context on plant recruitment. For example, there was a higher diversity of exotic seedling germination in fragments, independent of the extent of cyclone damage.",10,2008,33,4,471,484,10.1111/j.1442-9993.2008.01902.x,,,
"Burger, JMS; Kolss, M; Pont, J; Kawecki, TJ",Learning ability and longevity: A symmetrical evolutionary trade-off in Drosophila,EVOLUTION,Article,age-related memory impairment; antagonistic pleiotropy; cognitive senescence; correlated response to selection; cost of learning; memory,"Learning ability can be substantially improved by artificial selection in animals ranging from Drosophila to rats. Thus these species have not used their evolutionary potential with respect to learning ability, despite intuitively expected and experimentally demonstrated adaptive advantages of learning. This suggests that learning is costly, but this notion has rarely been tested. Here we report correlated responses of life-history traits to selection for improved learning in Drosophila melanogaster. Replicate populations selected for improved learning lived on average 15% shorter than the corresponding unselected control populations. They also showed a minor reduction in fecundity late in life and possibly a minor increase in dry adult mass. Selection for improved learning had no effect on egg-to-adult viability, development rate, or desiccation resistance. Because shortened longevity was the strongest correlated response to selection for improved learning, we also measured learning ability in another set of replicate populations that had been selected for extended longevity. In a classical olfactory conditioning assay, these long-lived flies showed an almost 40% reduction in learning ability early in life. This effect disappeared with age. Our results suggest a symmetrical evolutionary trade-off between learning ability and longevity in Drosophila.",35,2008,62,6,1294,1304,10.1111/j.1558-5646.2008.00376.x,,,
"Monaghan, P; Charmantier, A; Nussey, DH; Ricklefs, RE",The evolutionary ecology of senescence,FUNCTIONAL ECOLOGY,Article,ageing; antagonistic pleiotropy; disposable soma; evolution; lifespan; mortality; mutation accumulation; oxidative stress,"1. Research on senescence has largely focused on its underlying causes, and is concentrated on humans and relatively few model organisms in laboratory conditions. To understand the evolutionary ecology of senescence, research on a broader taxonomic range is needed, incorporating field, and, where possible, longitudinal studies. 2. Senescence is generally considered to involve progressive deterioration in performance, and it is important to distinguish this from other age-related phenotypic changes. We outline and discuss the main explanations of why selection has not eliminated senescence, and summarise the principal mechanisms thought to be involved. 3. The main focus of research on senescence is on age-related changes in mortality risk. However, evolutionary biologists focus on fitness, of which survival is only one component. To understand the selective pressures shaping senescence patterns, more attention needs to be devoted to age-related changes in fecundity. 4. Both genetic and environmental factors influence the rate of senescence. However, a much clearer distinction needs to be drawn between life span and senescence rate, and between factors that alter the overall risk of death, and factors that alter the rate of senescence. This is particularly important when considering the potential reversibility and plasticity of senescence, and environmental effects, such as circumstances early in life. 5. There is a need to reconcile the different approaches to studying senescence, and to integrate theories to explain the evolution of senescence with other evolutionary theories such as sexual and kin selection.",116,2008,22,3,371,378,10.1111/j.1365-2435.2008.01418.x,,,
"Mangel, M","Environment, damage and senescence: modelling the life-history consequences of variable stress and caloric intake",FUNCTIONAL ECOLOGY,Review,life-history theory; hormesis; foetal programming; metabolic syndrome; damage; foraging,"1. Senescence is intimately connected with physiological state, which is affected by the environment. Two aspects of the environment - stress and caloric intake - are investigated in the context of senescence, particularly in the context of repair of damage caused by endogenous and exogenous stressors. 2. In a simple life-history model, the organism is characterized by size (affecting reproductive success) and accumulated damage (affecting survival) at age. The modelled organism experiences an imprinting period, at the end of which it estimates the level of food and damaging sources in the environment. From those, an optimal life history is determined, assuming that reproduction is an allometric function of size. 3. The optimal life history involves a behavioural trait (intensity of foraging) and an allocation process (amount of energy allocated to repair of damage). Subsequent to the imprinting period, the organism lives experiencing levels of stress or caloric intake that differ from those during the imprinting period. The mismatch is such that either the caloric intake is greater post-imprinting than during imprinting or environmental stress is smaller post-imprinting that during imprinting. 4. Since reproduction is given allometrically and the organism cannot shrink, there is no reproductive senescence. In all cases, mortality increases with age. Senescence is caused by accumulated damage and we focus on the allocation of potential growth to repair and environmental mismatch. 5. In the case of stress mismatch, the general qualitative result is that both the optimal level of activity and the allocation to repair are greater than their values in the case of no mismatch and they are positively correlated. For caloric mismatch, during the post-imprinting period the intensity of foraging is greater than that predicted if there were no mismatches. However, we predict either a negative correlation between genes characterizing activity and repair (for small mismatch), no correlation (for moderate mismatch) or positive correlation (for large mismatch). Furthermore, caloric mismatch is predicted to lead to a considerable reduction in lifetime reproduction, but stress mismatch is predicted to induce an increase in stress resistance throughout life with little cost to lifetime reproduction.",22,2008,22,3,422,430,10.1111/j.1365-2435.2008.01410.x,,,
"Corney, PM; Kirby, KJ; Le, DMG; Smart, SM; McAllister, HA; Marrs, RH",Changes in the field-layer of Wytham Woods - assessment of the impacts of a range of environmental factors controlling change,JOURNAL OF VEGETATION SCIENCE,Article,ancient woodland; deer browsing; HOF modelling; long-term monitoring; management history; multivariate analysis of variance; nitrogen deposition,"Question: What are the impacts of factors controlling patterns of change in woodland field-layer vegetation, through time? Location: Wytham Woods, Oxford, UK (51 degrees 41' N, 1 degrees 19' W). Methods: Species occurrence was monitored in 163 permanent plots three times between 1973 and 2002 and related to management compartment and history. The dataset was analysed using a combination of ordination methods, univariate and multivariate analysis of variance and HOF modelling. Results: The two key findings of this paper are: ( 1) that the species composition of ancient woodlands ( often cited as a conservation goal), may be moving along an 'undesirable' trajectory, from a conservation viewpoint; and ( 2) that the impact of a synergistic effect of changing canopy dynamics, nitrogen deposition and a rising deer population has resulted in an increase in grass species, at the expense of woodland herbs. These findings have significant implications for the practical conservation of similar habitats across Europe. Conclusions: The analytical methodology presented here allowed detailed assessment of the potential roles of a range of environmental factors controlling change. The methodology may be applicable to other long-term studies of vegetation, and is particularly appropriate for identification of cross-site drivers, such as pollutant load and climate change.",10,2008,19,3,287,U15,10.3170/2008-8-18383,,,
"Gross, K",Fusing spatial resource heterogeneity with a competition-colonization trade-off in model communities,THEORETICAL ECOLOGY,Article,Biodiversity; Dispersal; Resource competition; Spatial dynamics,"Two commonly cited mechanisms of multispecies coexistence in patchy environments are spatial heterogeneity in competitive abilities caused by variation in resources and a competition-colonization trade-off. In this paper, a model that fuses these mechanisms together is presented and analyzed. The model suggests that spatial variation in resource ratios can lead to multispecies coexistence, but this mechanism by itself is weak when the number of resources for which species compete is small. However, spatial resource heterogeneity is a powerful mechanism for multispecies coexistence when it acts synergistically with a competition-colonization trade-off. The model also shows how resource supply can control the competitive balance between species that are weak competitors but superior colonizers and strong competitors/inferior colonizers. This provides additional theoretical support for a possible explanation of empirically observed hump-shaped relationships between species diversity and ecological productivity.",2,2008,1,2,65,75,10.1007/s12080-007-0005-x,,,
"Zhu, J; Lu, YT; Chen, WC",Single and joint toxic effects of cadmium and phenanthrene on enchytraeid Fridericia bulbosa,EUROPEAN JOURNAL OF SOIL BIOLOGY,Article,Cd; Phe; enchytraeid Fridericia bulbosa; toxic effect; joint pollution,"The toxic effects of single and joint stress of Cd (cadmium) and Phe (phenanthrene) on enchytraeid Fridericia bulbosa were investigated by natural soil tests. Mortality of single and joint stress of Cd and Phe was significant (p < 0.01) except the lowest concentration of single pollutant. There was a positive correlation between mortality and the concentration of pollutant added to soil. Also, the more exposed to single or joint Cd and Phe, the more morality. For joint pollution, Cd was the main contributive factor of toxic effects, the different concentration and interaction of Cd and Phe significantly influenced mortality (p < 0.01). The joint effects of Cd and Phe were additive, after a 14-d exposure. When Phe was 0.1 mg kg(-1) and 1.6 mg kg(-1), the interactive effects between Cd and Phe were synergistic. When Phe was 25.6 mg kg(-1), the interactive effects were antagonistic. It suggested that morality may be considered as a valuable and sensitive biomarker to diagnose adverse effects of Cd or Phe in soil environment. (C) 2008 Elsevier Masson SAS. All rights reserved.",8,2008,44,3,260,265,10.1016/j.ejsobi.2008.03.002,,,
"Schlipalius, DI; Chen, W; Collins, P; Nguyen, T; Reilly, P; Ebert, P","Gene interactions constrain the course of evolution of phosphine resistance in the lesser grain borer, Rhyzopertha dominica",HEREDITY,Article,pesticide resistance; fitness; methyl bromide; oxidative stress; linkage mapping; RAF,"Phosphine, a widely used fumigant for the protection of stored grain from insect pests, kills organisms indirectly by inducing oxidative stress. High levels of heritable resistance to phosphine in the insect pest of stored grain, Rhyzopertha dominica have been detected in Asia, Australia and South America. In order to understand the evolution of phosphine resistance and to isolate the responsible genes, we have undertaken genetic linkage analysis of fully sensitive (QRD14), moderately resistant (QRD369) and highly resistant (QRD569) strains of R. dominica collected in Australia. We previously determined that two loci, rph1 and rph2, confer high-level resistance on strain QRD569, which was collected in 1997. We have now confirmed that rph1 is responsible for the moderate resistance of strain QRD369, which was collected in 1990, and is shared with a highly resistant strain from the same geographical region, QRD569. In contrast, rph2 by itself confers only very weak resistance, either as a heterozygote or as a homozygote and was not discovered in the field until weak resistance (probably due to rph1) had become ubiquitous. Thus, high-level resistance against phosphine has evolved via stepwise acquisition of resistance alleles, first at rph1 and thereafter at rph2. The semi-dominance of rph2 together with the synergistic interaction between rph1 and rph2 would have led to rapid selection for homozygosity. A lack of visible fitness cost associated with alleles at either locus suggests that the resistance phenotype will persist in the field.",27,2008,100,5,506,516,10.1038/hdy.2008.4,,,
"Thackeray, SJ; Jones, ID; Maberly, SC",Long-term change in the phenology of spring phytoplankton: species-specific responses to nutrient enrichment and climatic change,JOURNAL OF ECOLOGY,Article,additive models; Asterionella; climate change; Cyclotella; eutrophication; phenology; timing,"1. A number of studies have shown that spring biological events have advanced in recent decades, and concluded that these changes in phenology are driven by climatic change. Freshwater lakes are sensitive indicators of climate change, where direct effects of climate on physical processes can affect the seasonal timing of planktonic communities. However, many lake ecosystems have also experienced long-term changes in other ecological pressures that could affect phenology. 2. In this study, long-term (1955-2003) physical, chemical and biological data from Windermere (UK) were analysed in order to assess the relative effects of a number of coincident pressures on the phenology of two spring diatom taxa. The analysis provides a detailed case study, highlighting the species-specific drivers that affect the phenology of dominant members of the phytoplankton community. 3. The results showed that, whilst the spring peak biomass of one taxon (Cyclotella) appeared to be advancing as a result of earlier thermal stratification, the advancement of the other (Asterionella) was closely linked with both progressive nutrient enrichment and lake warming. Furthermore, nutrient enrichment explained more variation in phenology than water temperature. Both taxa also reached their peak abundance earlier when the over wintering biomass at the end of the previous year was higher. 4. Patterns of change in phenology and ecological pressures were markedly nonlinear in time, as were the effects of some drivers of seasonal timing. This highlighted a need to relax the restriction of linearity in our analyses of biological seasonality. 5. Synthesis. Phenological shifts may be brought about by local processes, such as eutrophication, as well as by climate change. Even in the same ecosystem different mechanisms may alter the phenology of different species.",66,2008,96,3,523,535,10.1111/j.1365-2745.2008.01355.x,,,
"Bussell, JA; Gidman, EA; Causton, DR; Gwynn-Jones, D; Malham, SK; Jones, MLM; Reynolds, B; Seed, R","Changes in the immune response and metabolic fingerprint of the mussel, Mytilus edulis (Linnaeus) in response to lowered salinity and physical stress",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,Article,aquaculture; climate change; immune response; mussel; salinity; stress,"Mussels, such as Mytilus edulis, are common keystone species on open coasts and in estuaries and are frequently used in environmental monitoring programmes. Mussels experience a wide range of environmental conditions at these locations, including rapid changes in salinity and physical disturbance (both natural and from aquaculture practices). This paper addressed the hypothesis that reduced salinity will lower mussel blood immune function and influence mussel blood metabolic responses, and that this will in turn increase the susceptibility of mussels to other stresses such as physical disturbance. To test these hypotheses, experiments were conducted in controlled laboratory tank conditions and mussel blood was analysed using a combination of metabolic fingerprinting with FT-IR and immunological assay techniques. Reducing seawater salinity to half that of normal caused a significant reduction in several measures of immune function, including the concentration of haemocytes, percentage of eosinophilic haemocytes and phagocytosis. Mechanical shaking of mussels for 10 min caused a reduction in the level of respiratory burst activity. However, there was no evidence of additive or interactive effects of lowered salinity with shaking on the immune response. Analysis of mussel blood metabolic fingerprints revealed differences in response to half salinity (vs. full salinity) but there were no detectable effects of shaking. Increasing frequency and magnitude of flood events at coastal sites due to climate change could lead to longer, and more frequent, periods of reduced salinity. The potential impact on the immune function of this keystone species within or near estuaries could have knock-on effects on the wider ecosystem including altered nutrient cycling, changes in biodiversity and aquaculture production. (C) 2008 Elsevier B.V. All rights reserved.",32,2008,358,1,78,85,10.1016/j.jembe.2008.01.018,,,
"Sovada, MA; Pietz, PJ; Conuerse, KA; King, DT; Hofmeister, EK; Scherr, P; Ip, HS",Impact of West Nile virus and other mortality factors on American white pelicans at breeding colonies in the northern plains of North America,BIOLOGICAL CONSERVATION,Article,American white pelican; late breeding season mortality; mortality factors; Pelecanus erythrorhynchos; west Nile virus,"American white pelicans (Pelecanus erythrorhynchos) are colonial-nesting birds and their breeding sites are concentrated in a few small areas, making this species especially vulnerable to factors that can influence productivity, such as disease, disturbance, predation, weather events and loss of nesting habitat. Nearly half of the American white pelican population breeds at four colonies in the northern plains: Chase Lake National Wildlife Refuge (NWR) in North Dakota, Bitter Lake (Waubay NWR) in South Dakota, Medicine Lake NWR in Montana, and Marsh Lake in Minnesota. Thus, sustained productivity at these colonies is crucial to the health of the entire species. During the latter half of the 2002 and 2003 breeding seasons, unusually high mortality of pelican chicks was observed at these colonies. West Nile virus (WNv) was identified as one source of these losses. In 2004-2007 we monitored three major colonies in the northern plains to assess mortality of chicks during the late breeding season. We documented severe weather events, disturbance, and WNv as factors contributing to chick mortality. Before WNv arrived in the region in 2002, chick mortality after mid-July was <= 4%, and then jumped to as high as 44% in the years since WNv arrived. WNv kills older chicks that are no longer vulnerable to other common mortality factors (e.g., severe weather, gull predation) and typically would have survived to fledge; thus WNv appears to be an additive mortality factor. Persistence of lower productivity at American white pelican colonies in the northern plains might reduce the adult breeding population of this species in the region. Published by Elsevier Ltd.",18,2008,141,4,1021,1031,10.1016/j.biocon.2008.01.019,,,
"Donner, DM; Probst, JR; Ribic, CA","Influence of habitat amount, arrangement, and use on population trend estimates of male Kirtland's warblers",LANDSCAPE ECOLOGY,Article,Kirtland's warbler; population trend; generalized additive model; spatial dispersion; landscape structure; habitat limitation,"Kirtland's warblers (Dendroica kirtlandii) persist in a naturally patchy environment of young, regenerating jack pine forests (i.e., 5-23 years old) created after wildfires and human logging activities. We examined how changing landscape structure from 26 years of forest management and wildfire disturbances influenced population size and spatial dispersion of male Kirtland's warblers within their restricted breeding range in northern Lower Michigan, USA. The male Kirtland's warbler population was six times larger in 2004 (1,322) compared to 1979 (205); the change was nonlinear with 1987 and 1994 identified as significant points of change. In 1987, the population trend began increasing after a slowly declining trend prior to 1987, and the rate of increase appeared to slow after 1994. Total amount of suitable habitat and the relative area of wildfire-regenerated habitat were the most important factors explaining population trend. Suitable habitat increased 149% primarily due to increasing plantations from forest management. The relative amount and location of wildfire-regenerated habitat modified the distribution of males among various habitat types, and the spatial variation in their abundance across the primary breeding range. These findings indicate that the Kirtland's warbler male population shifted its use of habitat types temporally and spatially as the population increased and as the relative availability of habitats changed through time. We demonstrate that researchers and managers need to consider not only habitat quality, but the temporal and the spatial context of habitat availability and population levels when making habitat restoration decisions.",14,2008,23,4,467,480,10.1007/s10980-008-9208-9,,,
