authors,title,source,type,keywords,abstract,times)cited,PY,VL,IS,BP,EP,DI
"Siddon, EC; Duffy-Anderson, JT; Mueter, FJ",Community-level response of fish larvae to environmental variability in the southeastern Bering Sea,MARINE ECOLOGY PROGRESS SERIES,Article,Larval fish; Southeastern Bering Sea; Community structure; Walleye pollock; Theragra chalcogramma; Environmental variability,"Oceanographic conditions in the southeastern Bering Sea are affected by large-scale climatic drivers (e.g. Pacific Decadal Oscillation, Aleutian Low Pressure System). Ecosystem changes in response to climate variability should be monitored, as the Bering Sea supports the largest commercial fishery in the USA (walleye pollock Theragra chalcogramma). This analysis examined shifts in larval fish community composition in the southeastern Bering Sea in response to environmental variability across both warm and cold periods. Larvae were sampled in spring (May) during 5 cruises between 2002 and 2008 using oblique 60 cm bongo tows. Non-metric multidimensional scaling (NMDS) was used to quantify variability and reduce multi-species abundance data to major modes of species composition. Generalized additive models (GAMs) characterized spatial and temporal differences in assemblage structure as a function of environmental covariates. We identified a strong cross-shelf gradient delineating slope and shelf assemblages, an influence of water masses from the Gulf of Alaska on species composition, and the importance of nearshore areas for larval fish. Species assemblages differed between warm and cold periods, and larval abundances were generally greater in warm years. High abundances of walleye pollock in warm years contributed most to differences in Unimak Pass, outer domain, and shelf areas (geographic areas in the study region defined based on bathymetry). Sebastes spp. contributed to differences over the slope with increased abundances in cold years. We propose that community-level patterns in larval fish composition may reflect species-specific responses to climate change and that early life stages may be primary indicators of environmental change.",9,2011,426,,225,239,10.3354/meps09009
"Soldevilla, MS; Wiggins, SM; Hildebrand, JA; Oleson, EM; Ferguson, MC",Risso's and Pacific white-sided dolphin habitat modeling from passive acoustic monitoring,MARINE ECOLOGY PROGRESS SERIES,Article,Risso's dolphin; Grampus griseus; Pacific white-sided dolphin; Lagenorhynchus obliquidens; Habitat model; Generalized additive model; Passive acoustic monitoring; Southern California Bight,"Habitat characterization allows prediction of dolphin distributions in response to oceanographic processes and can be used to understand and predict effects of anthropogenic disturbances. Many habitat models focus on contemporary dolphin occurrence and environmental predictor data, but time-lagged oceanographic data may increase a model's predictive power due to ecological successional processes. Using hourly occurrence of Risso's dolphin Grampus griseus clicks and 2 types of Pacific white-sided dolphin Lagenorhynchus obliquidens clicks in autonomous passive acoustic recordings, we investigate the importance of time-lagged predictor variables with generalized additive models. These models relate dolphin acoustic activity from recordings at 6 sites in the Southern California Bight between August 2005 and December 2007 to oceanographic variables including sea surface temperature (SST), SST coefficient of variation (CV), sea surface chlorophyll concentration (chl), chl CV, upwelling indices, and solar and lunar temporal indices. The most consistently selected variables among the trial models evaluated during cross-validation were SST (100% of models) and SST CV (80%) for Risso's dolphin clicks; solar indices (100%) and SST and SST CV (60% each) for Pacific white-sided type A (PWS A) clicks; and SST CV (100%), solar indices (100%) and SST (80%) for Pacific white-sided type B (PWS B) clicks. Best predictive models for Risso's dolphins and PWS A clicks included time-lagged variables, suggesting the importance of ecological succession between abiotic variables and dolphin occurrence, while best models of PWS B clicks were for current conditions, suggesting association with prey-aggregating features such as fronts and eddies.",8,2011,423,,247,U267,10.3354/meps08927
"Hampe, A; Jump, AS","Climate Relicts: Past, Present, Future","ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 42",Review; Book Chapter,biotic interactions; climate change; climatic stress; population viability; refugium; retreating range margin,"Populations left behind during climate-driven range shifts can persist in enclaves of benign environmental conditions within an inhospitable regional climate. Such climate relicts exist in numerous plant and animal species worldwide, yet our knowledge of them is fragmented and lacks a general framework. Here we synthesize the empirical evidence considering (a) relict habitats, (b) abiotic and biotic constraints on population dynamics, (c) mechanisms promoting population persistence, and (d) uncertainties concerning their future prospects. We identify three major types of climate relicts: (a) those constrained primarily by climate-driven abiotic factors, (b) those restricted to areas that are inaccessible to antagonistic species for climatic reasons, and (c) those requiring a host or mutualistic species that is itself limited by climate. Understanding the formation and functioning of climate relicts is essential for their conservation and for our understanding of the response of species and populations to climate change.",83,2011,42,,313,333,10.1146/annurev-ecolsys-102710-145015
"Laurance, WF; Camargo, JLC; Luizao, RCC; Laurance, SG; Pimm, SL; Bruna, EM; Stouffer, PC; Williamson, GB; Benitez-Malvido, J; Vasconcelos, HL; Van Houtan, KS; Zartman, CE; Boyle, SA; Didham, RK; Andrade, A; Lovejoy, TE",The fate of Amazonian forest fragments: A 32-year investigation,BIOLOGICAL CONSERVATION,Review,Amazon; Community dynamics; Ecosystem processes; Edge effects; Habitat fragmentation; Long-term research; Matrix effects; Species extinctions; Tropical forests,"We synthesize findings to date from the world's largest and longest-running experimental study of habitat fragmentation, located in central Amazonia. Over the past 32 years, Amazonian forest fragments ranging from 1 to 100 ha have experienced a wide array of ecological changes. Edge effects have been a dominant driver of fragment dynamics, strongly affecting forest microclimate, tree mortality, carbon storage, fauna, and other aspects of fragment ecology. However, edge-effect intensity varies markedly in space and time, and is influenced by factors such as edge age, the number of nearby edges, and the adjoining matrix of modified vegetation surrounding fragments. In our study area, the matrix has changed markedly over the course of the study (evolving from large cattle pastures to mosaics of abandoned pasture and regrowth forest) and this in turn has strongly influenced fragment dynamics and faunal persistence. Rare weather events, especially windstorms and droughts, have further altered fragment ecology. In general, populations and communities of species in fragments are hyperdynamic relative to nearby intact forest. Some edge and fragment-isolation effects have declined with a partial recovery of secondary forests around fragments, but other changes: such as altered patterns of tree recruitment, are ongoing. Fragments are highly sensitive to external vicissitudes, and even small changes in local land-management practices may drive fragmented ecosystems in markedly different directions. The effects of fragmentation are likely to interact synergistically with other anthropogenic threats such as logging, hunting, and especially fire, creating an even greater peril for the Amazonian biota. Crown Copyright (C) 2010 Published by Elsevier Ltd. All rights reserved.",145,2011,144,1,56,67,10.1016/j.biocon.2010.09.021
"Pittock, J",National Climate Change Policies and Sustainable Water Management: Conflicts and Synergies,ECOLOGY AND SOCIETY,Article,Adaptation; climate change; conservation; energy; governments; policies; rivers,"Even in the absence of climate change, freshwater ecosystems and the resources they provide for people are under great pressure because of increasing demand for water and declines in water quality. The imminent onset of climate change will exacerbate these impacts, placing even greater pressure on already stressed resources and regions. A plethora of national climate change policies have been adopted that emphasize structural adjustment in the energy sector and increasing carbon sinks. To date, most public debate on water has focused on the direct impacts of climate change on hydrology. However, there is growing evidence that climate change policies themselves may have substantial additional and negative impacts on freshwater resources and ecosystems and may thus result in maladaptation. To avoid such maladaptation, integrated, coordinated policy making is required. In this paper, national climate change policies from Australia, Brazil, China, the European Union (EU), India, Mexico, South Africa, Tanzania, and the United Kingdom are compared to: (i) identify where negative trade-offs exist between climate change policies and freshwater resources, (ii) analyze where institutions and structures exist to optimize integration among climate, water, and biodiversity policies, and (iii) provide a much needed overview from a broad selection of countries with a view to identifying further opportunities for theoretical exploration and testing. The synergies and conflicts among climate, energy, water, and environmental policies create additional challenges for governments to develop integrated policies to deliver multiple benefits. Success factors for better policy development identified in this assessment and synthesis include engagement of senior political leaders, cyclical policy development, multi-agency and stakeholder processes, and stronger accountability and enforcement measures.",14,2011,16,2,,,
"Wang, QS; He, MC; Wang, Y",Influence of combined pollution of antimony and arsenic on culturable soil microbial populations and enzyme activities,ECOTOXICOLOGY,Article,Antimony; Arsenic; Combined pollution; Microbial population; Enzyme activities,"The effects of both combined and single pollution of antimony (Sb) and arsenic (As) in different concentrations on culturable soil microbial populations and enzyme activities were studied under laboratory conditions. Joint effects of both Sb and As were different from that of Sb or As alone. The inhibition rate of culturable soil microbial populations under Sb and As pollution followed the order: bacterial > fungi > actinomycetes. There existed antagonistic inhibiting effect on urease and acid phophatase and synergistic inhibiting effect on protease under the combined pollution of Sb (III) and As (III). Only urease appeared to be the most sensitive indicator under Sb (V) and As (V) pollution, and there existed antagonistic inhibiting effect on acid phophatase and synergistic inhibiting effect on urease and protease under Sb (V) and As (V) combined pollution at most time. In this study, we also confirmed that the trivalent states of Sb and As were more toxic to all the microbes tested and more inhibitory on microbial enzyme activities then their pentavalent counterparts. The results also suggest that not only the application rate of the two metalloids but also the chemical form of metalloids should be considered while assessing the effect of metalloid on culturable microbial populations and enzyme activities. Urease and acid phosphatase can be used as potential biomarkers to evaluate the intensity of Sb (III) and As (III) stress.",10,2011,20,1,9,19,10.1007/s10646-010-0551-7
"Keenan, T; Serra, JM; Lloret, F; Ninyerola, M; Sabate, S","Predicting the future of forests in the Mediterranean under climate change, with niche- and process-based models: CO2 matters!",GLOBAL CHANGE BIOLOGY,Review,BIOMOD; CO2 fertilization; drought; GOTILWA; niche-based models; Pinus halepensis; Pinus sylvestris; Quercus ilex; species distribution,"Assessing the potential future of current forest stands is a key to design conservation strategies and understanding potential future impacts to ecosystem service supplies. This is particularly true in the Mediterranean basin, where important future climatic changes are expected. Here, we assess and compare two commonly used modeling approaches (niche- and process-based models) to project the future of current stands of three forest species with contrasting distributions, using regionalized climate for continental Spain. Results highlight variability in model ability to estimate current distributions, and the inherent large uncertainty involved in making projections into the future. CO2 fertilization through projected increased atmospheric CO2 concentrations is shown to increase forest productivity in the mechanistic process-based model (despite increased drought stress) by up to three times that of the non-CO2 fertilization scenario by the period 2050-2080, which is in stark contrast to projections of reduced habitat suitability from the niche-based models by the same period. This highlights the importance of introducing aspects of plant biogeochemistry into current niche-based models for a realistic projection of future species distributions. We conclude that the future of current Mediterranean forest stands is highly uncertain and suggest that a new synergy between niche- and process-based models is urgently needed in order to improve our predictive ability.",61,2011,17,1,565,579,10.1111/j.1365-2486.2010.02254.x
"Harrison, XA; Blount, JD; Inger, R; Norris, DR; Bearhop, S",Carry-over effects as drivers of fitness differences in animals,JOURNAL OF ANIMAL ECOLOGY,Review,density dependence; micronutrients; population dynamics; reproductive threshold; seasonal interactions; state-dependent modelling,"P>1. Carry-over effects occur when processes in one season influence the success of an individual in the following season. This phenomenon has the potential to explain a large amount of variation in individual fitness, but so far has only been described in a limited number of species. This is largely due to difficulties associated with tracking individuals between periods of the annual cycle, but also because of a lack of research specifically designed to examine hypotheses related to carry-over effects. 2. We review the known mechanisms that drive carry-over effects, most notably macronutrient supply, and highlight the types of life histories and ecological situations where we would expect them to most often occur. We also identify a number of other potential mechanisms that require investigation, including micronutrients such as antioxidants. 3. We propose a series of experiments designed to estimate the relative contributions of extrinsic and intrinsic quality effects in the pre-breeding season, which in turn will allow an accurate estimation of the magnitude of carry-over effects. To date this has proven immensely difficult, and we hope that the experimental frameworks described here will stimulate new avenues of research vital to advancing our understanding of how carry-over effects can shape animal life histories. 4. We also explore the potential of state-dependent modelling as a tool for investigating carry-over effects, most notably for its ability to calculate optimal rates of acquisition of a multitude of resources over the course of the annual cycle, and also because it allows us to vary the strength of density-dependent relationships which can alter the magnitude of carry-over effects in either a synergistic or agonistic fashion. 5. In conclusion carry-over effects are likely to be far more widespread than currently indicated, and they are likely to be driven by a multitude of factors including both macro- and micronutrients. For this reason they could feasibly be responsible for a large amount of the observed variation in performance among individuals, and consequently warrant a wealth of new research designed specifically to decompose components of variation in fitness attributes related to processes across and within seasons.",137,2011,80,1,4,18,10.1111/j.1365-2656.2010.01740.x
"Copolovici, L; Kannaste, A; Remmel, T; Vislap, V; Niinemets, U",Volatile Emissions from Alnus glutionosa Induced by Herbivory are Quantitatively Related to the Extent of Damage,JOURNAL OF CHEMICAL ECOLOGY,Article,Biotic stress; Green leaf volatiles; Leaf ultrastructure; Photosynthesis rate; Volatile organic compounds,"Plant volatile organic compounds (VOCs) elicited in response to herbivory serve as cues for parasitic and predatory insects. Knowledge about quantitative relationships between the extent of herbivore-induced damage and the quantities of VOCs released is scarce. We studied the kinetics of VOC-emissions from foliage of the deciduous tree Alnus glutinosa induced by feeding activity of larvae of the geometrid moth Cabera pusaria. Quantitative relationships between the intensity of stress and strength of plant response were determined. Intensity of biotic stress was characterized by herbivore numbers (0-8 larvae) and by the amount of leaf area eaten. The strength of plant response was characterized by monitoring (i) changes in photosynthesis, (ii) leaf ultrastructure, and (iii) plant volatiles. Net assimilation rate displayed compensatory responses in herbivore-damaged leaves compared with control leaves. This compensatory response was associated with an overall increase in chloroplast size. Feeding-induced emissions of products of the lipoxygenase pathway (LOX products; (E)-2-hexenal, (Z)-3-hexenol, 1-hexanol, and (Z)-3-hexenyl acetate) peaked at day 1 after larval feeding started, followed by an increase of emissions of ubiquitous monoterpenes peaking on days 2 and 3. The emission of the monoterpene (E)-beta-ocimene and of the nerolidol-derived homoterpene 4,8-dimethyl-nona-1,3,7-triene (DMNT) peaked on day 3. Furthermore, the emission kinetics of the sesquiterpene (E,E)-alpha-farnesene tended to be biphasic with peaks on days 2 and 4 after start of larval feeding. Emission rates of the induced LOX products, of (E)-beta-ocimene and (E,E)-alpha-farnesene were positively correlated with the number of larvae feeding. In contrast, the emission of DMNT was independent of the number of feeders. These data show quantitative relationships between the strength of herbivory and the emissions of LOX products and most of the terpenoids elicited in response to feeding. Thus, herbivory-elicited LOX products and terpenoid emissions may convey both quantitative and qualitative signals to antagonists of the herbivores. In contrast, our data suggest that the feeding-induced homoterpene DMNT conveys the information ""presence of herbivores"" rather than information about the quantities of herbivores to predators and parasitoids.",28,2011,37,1,18,28,10.1007/s10886-010-9897-9
"Yang, JW; Yi, HS; Kim, H; Lee, B; Lee, S; Ghim, SY; Ryu, CM",Whitefly infestation of pepper plants elicits defence responses against bacterial pathogens in leaves and roots and changes the below-ground microflora,JOURNAL OF ECOLOGY,Article,above-ground; below-ground; plant growth-promoting rhizobacteria; plant-herbivore interactions; Ralstonia solanacearum; whitefly; Xanthomonas axonopodis,"P>1. Upon facing biotic stresses, plants orchestrate defence mechanisms via internal and external mechanisms that are mediated by signalling molecules such as salicylic acid, jasmonic acid, ethylene and various other volatile compounds. Although pathogen- and chemical-induced plant resistance has been studied extensively within the same plant compartment, the effects of above-ground (AG) insect-elicited plant defence on the resistance expression in roots and the below-ground (BG) microbial community are not well understood. 2. We assessed the effect of AG whitefly (Bemisia tabaci) attack on the elicitation of induced resistance against a leaf pathogen, Xanthomonas axonopodis pv. vesicatoria, a soil-borne pathogen, Ralstonia solanacearum, and on BG modifications of the rhizosphere microflora in peppers (Capsicum annuum). 3. Symptom development caused by the two bacterial pathogens on leaves and roots was significantly reduced in whitefly-exposed plants as compared to controls. A combined treatment with benzothiadiazole (BTH) and whitefly caused an additive effect on induced resistance, indicating that whitefly-induced plant defence can utilize salicylic acid (SA)-dependent signalling. To obtain further genetic evidence of this phenomenon, we evaluated the gene expression of Capsicum annuum pathogenesis-related protein (CaPR) 1, CaPR4, CaPR10 and Ca protease inhibitor II, and observed increased expression after BTH and/or whitefly treatment indicating that AG whitefly infestation elicited SA and jasmonic acid signalling in AG and BG. Since the expression pattern of PR genes in the roots differed, we assessed microbial diversity in plants treated with BTH and/or whitefly. 4. In addition to eliciting BG defence responses, a whitefly infestation of the leaves augmented the population of root-associated Gram-positive bacteria and fungi, which may have positively affected plant growth and induced systemic resistance. Whitefly feeding reduced plant size, which usually occurs as a consequence of the high costs of direct resistance induction. 5. Synthesis. Our results demonstrate that whitefly-induced resistance against bacterial pathogens can cross the AG-BG border and may cause further indirect benefits on future plant development, because it can positively affect the association or plant roots with putatively beneficial microorganisms.",39,2011,99,1,46,56,10.1111/j.1365-2745.2010.01756.x
"Doherty, TS; Dickman, CR; Nimmo, DG; Ritchie, EG","Multiple threats, or multiplying the threats? Interactions between invasive predators and other ecological disturbances",BIOLOGICAL CONSERVATION,Article,Apex predator; Biological invasion; Fire ecology; Species interactions; Synergies; Trophic cascade,"Invasive species have reshaped the composition of biomes across the globe, and considerable cost is now associated with minimising their ecological, social and economic impacts. Mammalian predators are among the most damaging invaders, having caused numerous species extinctions. Here, we review evidence of interactions between invasive predators and six key threats that together have strong potential to influence both the impacts of the predators, and their management. We show that impacts of invasive predators can be classified as either functional or numerical, and that they interact with other threats through both habitat- and community-mediated pathways. Ecosystem context and invasive predator identity are central in shaping variability in these relationships and their outcomes. Greater recognition of the ecological complexities between major processes that threaten biodiversity, including changing spatial and temporal relationships among species, is required to both advance ecological theory and improve conservation actions and outcomes. We discuss how novel approaches to conservation management can be used to address interactions between threatening processes and ameliorate invasive predator impacts. (C) 2015 Elsevier Ltd. All rights reserved.",0,2015,190,,60,68,10.1016/j.biocon.2015.05.013
"del Castillo, RF",A conceptual framework to describe the ecology of fragmented landscapes and implications for conservation and management,ECOLOGICAL APPLICATIONS,Article,arid lands; autogenic process; beta diversity; disturbance; facilitation; pioneer species; resilience; restoration; reverse fragmentation; secondary succession; traditional agroforestry system; tropical montane cloud forest,"The study of the ecology of fragmented landscapes has been dominated by two assumptions: the unique unidirectional path from larger to smaller fragments and the negligible role of fragment species on fragment properties. An accurate conceptualization of fragmented landscapes requires consideration of the age and origin of the fragments, i.e., direct fragmentation or reverse fragmentation (generation or increase of vegetated fragments by colonization), and the habitat modifications of fragment species (autogenic processes). Colonization and autogenic processes alter the fragments' composition and function. Fragment metrics affect colonization. Autogenic processes are antagonized by disturbances and modulated by abiotic inputs. Fragment alterations by autogenic processes may explain the continuous species substitution detected in some fragments or the species persistence in others. Reverse fragmentation, a natural process in commonly disturbed landscapes, challenges the avoidance-of-habitat disturbance as the ultimate strategy for biodiversity conservation and stresses the importance of pioneer species that promote succession as resilience elements in fragmented landscapes. Among-fragment diversity, generated by local disturbances, can be essential for the resilience of fragmented landscapes, suggesting that conservation and habitat utilization can be complementary processes. Traditional agroforestry systems that depend on disturbance, fragmentation, colonization, and autogenic processes may provide important insights into fragmentation ecology.",0,2015,25,6,1447,1455,
"Dawson, N; Martin, A",Assessing the contribution of ecosystem services to human wellbeing: A disaggregated study in western Rwanda,ECOLOGICAL ECONOMICS,Article,Ecosystem services; Environmental values; Cultural services; Social-ecological systems; Human wellbeing; Landscape ecology,"Lack of attention to social complexity has created a gap between current ecosystem service research and the kind of insights needed to inform ecosystem management in the tropics. To contribute to closing this gap, this study applies a methodology for exploring complex linkages between ecosystem services and human wellbeing. This builds on emerging frameworks for studying multiple dimensions of human wellbeing, drawing on Amartya Sen's capabilities approach to human development. The approach is applied to an empirical case study of three sites adjacent to native tropical forest in western Rwanda. The value of exploring social complexity in ecosystem services research is illustrated through its contribution to understanding a) different types of values; b) disaggregation of people; c) power relations and their influence on trade-offs; d) the importance of multiple land use types in the landscape; and e) changes and their drivers at multiple scales. The analysis reveals that the majority of services valued by forest-adjacent Rwandan inhabitants are not provided by tropical forests but by other habitats. We suggest that more integrated landscape governance may offer synergistic opportunities for conservation and development. (C) 2015 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",0,2015,117,,62,72,10.1016/j.ecolecon.2015.06.018
"Gilby, BL; Maxwell, PS; Tibbetts, IR; Stevens, T",Bottom-Up Factors for Algal Productivity Outweigh No-Fishing Marine Protected Area Effects in a Marginal Coral Reef System,ECOSYSTEMS,Article,no-take MPAs; nutrients; temperature; salinity; macroalgae; herbivory; bottom-up,"Herbivory, together with seasonal variations in temperature, light and nutrient concentration regulate macroalgal populations on coral reefs. Individual management interventions can influence this balance by altering some, but not all of these potential drivers. For example, no-take marine protected areas (MPAs) on coral reefs can increase herbivorous fish abundance, thereby decreasing macroalgal coverage, but have limited influence on water quality and other vagile drivers. We compared the relative influence of seven abiotic water quality variables to that of MPA status on macroalgal coverage in 14 sites (5 of which are within no-take MPAs) over four consecutive seasons (summer through to spring) within the marginal coral reef habitats of Moreton Bay, Australia. Algal cover was quantified by taking 100 photo quadrats per site per sampling with the relative importance of our eight factors determined statistically by generalised additive models. Overall, temporal variations in total macroalgal cover and four out of five important macroalgal genera correlated with factors other than marine protection, especially water temperature, salinity, water clarity (Secchi disc) and nutrient concentration (nitrogen and phosphorus). However, seasonal variations in cover of individual macroalgal genera did not follow strong temporal trends and were not consistent with total macroalgal cover, meaning that different factors were significant for different algal genera. Consequently, we advocate for caution in determining the influence of impact gradients by exclusively measuring total macroalgal cover. This study highlights the importance of considering local impact gradients and habitat recovery processes in the design of protected area networks.",0,2015,18,6,1056,1069,10.1007/s10021-015-9883-8
"Meyer-Grunefeldt, M; Calvo, L; Marcos, E; von Oheimb, G; Hardtle, W",Impacts of drought and nitrogen addition on Calluna heathlands differ with plant life-history stage,JOURNAL OF ECOLOGY,Article,biomass allocation; Calluna vulgaris; climate change; drought; nitrogen deposition; plant-climate interactions; C-13,"Climate change and atmospheric deposition of nitrogen (N) affect the biodiversity patterns and functions of ecosystems world-wide. While many single-factor studies have quantified ecosystem responses to single global change drivers, less is known about the interaction effects of these drivers on ecosystem functions. Here, we present the results of a three-year field and a two-year glasshouse experiment, in which we assessed responses of Calluna vulgaris heathlands to the single and combined effects of drought events (D) and N fertilization (D: 25% precipitation reduction in the field experiment and 20-50% soil water content reduction in the glasshouse experiment; N fertilization: 35kg N ha(-1)year(-1)). We examined the effects of D and N treatments on growth responses of the dominant dwarf shrub Calluna vulgaris (in terms of biomass production and allocation, tissue C-13 signatures and C:N ratios) in relation to two plant life-history stages and different ecotypes' (sub-Atlantic vs. subcontinental heathlands). Plant responses varied strongly with life-history stage, and the interaction of N and D showed lower effects than would be expected based on additive responses to single factors. While D treatments had no effects on Calluna in the building phase (ca. ten-year-old plants), seedlings (particularly one-year-old plants) were highly susceptible to drought. Differences in response patterns were attributable to the high shoot-root ratios typical of young Calluna plants. These ratios decreased with progressing life history as a result of increasing below-ground biomass investments. Below-ground biomass production and shoot-root ratios differed between plants from the different heathland sites. Tissue C-13 signatures decreased and C:N ratios increased with plant age as a result of decreasing evaporative demands (per unit root biomass). N fertilization increases the shoot-root ratios and thereby the drought susceptibility of Calluna plants.Synthesis. Our findings suggest that plant responses to global change are difficult to anticipate by means of single-factor studies or by focusing on a single life-history stage. This highlights the need for global change research to include multiple factors and life-history stages when assessing an ecosystem's susceptibility to shifts in environmental conditions.",0,2015,103,5,1141,1152,10.1111/1365-2745.12446
"Foster, CN; Barton, PS; Wood, JT; Lindenmayer, DB",Interactive effects of fire and large herbivores on web-building spiders,OECOLOGIA,Article,Araneae; Browsing; Disturbance interaction; Grazing; Synergistic effects,"Altered disturbance regimes are a major driver of biodiversity loss worldwide. Maintaining or re-creating natural disturbance regimes is therefore the focus of many conservation programmes. A key challenge, however, is to understand how co-occurring disturbances interact to affect biodiversity. We experimentally tested for the interactive effects of prescribed fire and large macropod herbivores on the web-building spider assemblage of a eucalypt forest understorey and investigated the role of vegetation in mediating these effects using path analysis. Fire had strong negative effects on the density of web-building spiders, which were partly mediated by effects on vegetation structure, while negative effects of large herbivores on web density were not related to changes in vegetation. Fire amplified the effects of large herbivores on spiders, both via vegetation-mediated pathways and by increasing herbivore activity. The importance of vegetation-mediated pathways and fire-herbivore interactions differed for web density and richness and also differed between web types. Our results demonstrate that for some groups of web-building spiders, the effects of co-occurring disturbance drivers may be mostly additive, whereas for other groups, interactions between drivers can amplify disturbance effects. In our study system, the use of prescribed fire in the presence of high densities of herbivores could lead to reduced densities and altered composition of web-building spiders, with potential cascading effects through the arthropod food web. Our study highlights the importance of considering both the independent and interactive effects of disturbances, as well as the mechanisms driving their effects, in the management of disturbance regimes.",0,2015,179,1,237,248,10.1007/s00442-015-3323-5
"Merriam, ER; Petty, JT; Strager, MP; Maxwell, AE; Ziemkiewicz, PF",Landscape-based cumulative effects models for predicting stream response to mountaintop mining in multistressor Appalachian watersheds,FRESHWATER SCIENCE,Article,cumulative effects; mountaintop mining; land use; spatial scale; watershed models,"We conducted a survey of 170 streams distributed throughout the mountaintop-mining region of West Virginia (USA) and linked stream data to a temporally consistent and comprehensive land-cover data set. We then applied a generalized linear modeling framework and constructed cumulative effects models capable of predicting in-stream response to future surface-mine development within the context of other landuse activities. Predictive models provided precise estimates of specific conductance (model R-2 <= 0.77 and cross-validated R-2 <= 0.74), Se (0.74 and 0.70), and benthic macroinvertebrate community composition (0.72 and 0.65). Deletion tests supported the conclusion that stream degradation across the region is the result of complex, but predictable, additive and interactive effects of surface mining, underground mining, and residential development. Furthermore, we found that as stressors other than surface mining are factored out completely, the surface-mining level that results in exceedance of the 300 mu S/cm conductivity benchmark increased from 4.4% in the presence of other stressors to 16.6% when only surface mining was present. Last, extrapolating model results to all unsampled stream segments in the region (n = 26,135), we predicted high levels of chemical (33%) and biological (67%) impairment to streams on the current landscape. Of this total impairment, however, <25% could be attributed to surface mining alone. These results underscore the importance of multistressor landuse models for reliable predictions of stream conditions, and the difficulty of interpreting correlations between surface mining and stream impairment without fully accounting for other landuse activities.",0,2015,34,3,1006,1019,10.1086/681970
"Stoks, R; Debecker, S; Van, KD; Janssens, L",Integrating ecology and evolution in aquatic toxicology: insights from damselflies,FRESHWATER SCIENCE,Article,ecological risk assessment; synergistic effects; global warming; space-for-time substitution; stress ecology; complex life cycle,"Current legislation and ecological risk assessment fails to protect aquatic biodiversity at low levels of contaminants. We addressed 3 topics embedded in general stress ecology and evolutionary ecology that are relevant to arrive at a better evaluation of the risk of low contaminant levels in aquatic systems: 1) delayed effects of contaminants, 2) interactions between contaminants and biotic interactors, and 3) vulnerability to contaminants under global warming. We developed these topics by capitalizing on the key insights obtained using damselflies as model organisms. First, delayed contaminant effects on important fitness-related effects exist during the larval stage and after metamorphosis in the adult stage. Second, synergistic interactions of contaminants with bacteria and predation risk have been demonstrated, and we present advances in the mechanistic understanding of these synergisms with biotic interactors. Third, we illustrate the strength of assessing the effect of contaminants under global warming using a space-for-time substitution approach and the need to consider temperature extremes. These studies using damselflies as model organisms highlight the relevance of considering contaminant effects after the exposure period and in the presence of natural stressors, such as predation risk and higher temperatures. They further highlight the need for spatially explicit risk-assessment and conservation tools. These insights are relevant for most aquatic taxa. Indeed most aquatic taxa have a complex life cycle, are strongly affected by predation risk and by warming, and show latitudinal gradients. Better integration of these topics in ecological risk assessment will be a major challenge for both scientists and policy makers, but of crucial importance to preserve aquatic biodiversity.",2,2015,34,3,1032,1039,10.1086/682571
"Leinaas, HP; Bengtsson, J; Janion-Scheepers, C; Chown, SL",Indirect effects of habitat disturbance on invasion: nutritious litter from a grazing resistant plant favors alien over native Collembola,ECOLOGY AND EVOLUTION,Article,Facilitation; nonadditive effects; renosterveld; resource patchiness; South Africa,"Biological invasions are major threats to biodiversity, with impacts that may be compounded by other forms of environmental change. Observations of high density of the invasive springtail (Collembola), Hypogastrura manubrialis in heavily grazed renosterveld vegetation in the Western Cape, South Africa, raised the question of whether the invasion was favored by changes in plant litter quality associated with habitat disturbance in this vegetation type. To examine the likely mechanisms underlying the high abundance of H.manubrialis, cages with three types of naturally occurring litter with different nutrient content were placed out in the area and collected after different periods of time. Hypogastrura manubrialis was mainly found in the nutrient-rich litter of the yellowbush (Galenia africana), which responds positively to disturbance in the form of overgrazing. This suggests that invasion may have been facilitated by a positive interaction with this grazing resistant plant. By contrast, indigenous Collembola were least abundant in yellowbush litter. Negative correlations between high abundance of H.manubrialis and the abundance and diversity of other species suggest that competitive interactions might underlie low abundance of these other species at the patch level. Group behavior enables H.manubrialis to utilize efficiently this ephemeral, high quality resource, and might improve its competitive ability. The results suggest that interactions among environmental change drivers may lead to unforeseen invasion effects. H.manubrialis is not likely to be very successful in un-grazed renosterveld, but in combination with grazing, favoring the nutrient-rich yellowbush, it may become highly invasive. Field manipulations are required to fully verify these conclusions.",0,2015,5,16,3462,3471,10.1002/ece3.1483
